epoch_id,period,physical_state_sha256,gate,E,U,M,delta_E,delta_U,delta_M
1830,EVENING_PEAK,20ef3825cda94c5861c7e6507a86dbf0e4cc531fcdc4442b75994ccae01f48be,G2_STRUCTURAL,4698,34,34,2940,23,23
1830,EVENING_PEAK,20ef3825cda94c5861c7e6507a86dbf0e4cc531fcdc4442b75994ccae01f48be,G3_EVIDENCE,1959,13,13,2739,21,21
1830,EVENING_PEAK,20ef3825cda94c5861c7e6507a86dbf0e4cc531fcdc4442b75994ccae01f48be,TOPK_COMPRESSION,123,13,13,1836,0,0
1830,EVENING_PEAK,20ef3825cda94c5861c7e6507a86dbf0e4cc531fcdc4442b75994ccae01f48be,ROUTE_RETURNED,123,13,13,0,0,0
1830,EVENING_PEAK,20ef3825cda94c5861c7e6507a86dbf0e4cc531fcdc4442b75994ccae01f48be,G4_PATIENCE,0,0,0,123,13,13
1830,EVENING_PEAK,20ef3825cda94c5861c7e6507a86dbf0e4cc531fcdc4442b75994ccae01f48be,G5_SOLVER,0,0,0,0,0,0
2100,OFF_PEAK,2db731c0d16a2592a824854cfe316c7fe310e166f88d4abed85075cc562be33f,G0_SPATIAL,11008,86,84,0,0,0
2100,OFF_PEAK,2db731c0d16a2592a824854cfe316c7fe310e166f88d4abed85075cc562be33f,G1_PASSENGER,7922,59,59,3086,27,25
2100,OFF_PEAK,2db731c0d16a2592a824854cfe316c7fe310e166f88d4abed85075cc562be33f,G2_STRUCTURAL,3963,33,33,3959,26,26
2100,OFF_PEAK,2db731c0d16a2592a824854cfe316c7fe310e166f88d4abed85075cc562be33f,G3_EVIDENCE,2603,22,22,1360,11,11
2100,OFF_PEAK,2db731c0d16a2592a824854cfe316c7fe310e166f88d4abed85075cc562be33f,TOPK_COMPRESSION,252,22,22,2351,0,0
2100,OFF_PEAK,2db731c0d16a2592a824854cfe316c7fe310e166f88d4abed85075cc562be33f,ROUTE_RETURNED,252,22,22,0,0,0
2100,OFF_PEAK,2db731c0d16a2592a824854cfe316c7fe310e166f88d4abed85075cc562be33f,G4_PATIENCE,10,2,2,242,20,20
2100,OFF_PEAK,2db731c0d16a2592a824854cfe316c7fe310e166f88d4abed85075cc562be33f,G5_SOLVER,10,2,2,0,0,0
2300,OFF_PEAK,07fb8cfe8a88774e6d5f550f3465491c7228cb7dd82599dedf2645ab7ea78d46,G0_SPATIAL,6270,47,47,0,0,0
2300,OFF_PEAK,07fb8cfe8a88774e6d5f550f3465491c7228cb7dd82599dedf2645ab7ea78d46,G1_PASSENGER,3996,35,35,2274,12,12
2300,OFF_PEAK,07fb8cfe8a88774e6d5f550f3465491c7228cb7dd82599dedf2645ab7ea78d46,G2_STRUCTURAL,2399,20,20,1597,15,15
2300,OFF_PEAK,07fb8cfe8a88774e6d5f550f3465491c7228cb7dd82599dedf2645ab7ea78d46,G3_EVIDENCE,1510,13,13,889,7,7
2300,OFF_PEAK,07fb8cfe8a88774e6d5f550f3465491c7228cb7dd82599dedf2645ab7ea78d46,TOPK_COMPRESSION,111,13,13,1399,0,0
2300,OFF_PEAK,07fb8cfe8a88774e6d5f550f3465491c7228cb7dd82599dedf2645ab7ea78d46,ROUTE_RETURNED,111,13,13,0,0,0
2300,OFF_PEAK,07fb8cfe8a88774e6d5f550f3465491c7228cb7dd82599dedf2645ab7ea78d46,G4_PATIENCE,1,1,1,110,12,12
2300,OFF_PEAK,07fb8cfe8a88774e6d5f550f3465491c7228cb7dd82599dedf2645ab7ea78d46,G5_SOLVER,1,1,1,0,0,0
