split,date,subgroup_type,subgroup,count,mae,rmse
evaluation,20161025,highway,primary,75555,0.030143972464428306,0.06710638848153819
evaluation,20161025,highway,primary_link,7042,0.032109946022684854,0.06419501719969344
evaluation,20161025,highway,unclassified,15215,0.03140363208002432,0.0542797606200364
evaluation,20161025,highway,secondary,68646,0.028199121959663124,0.04949619706126538
evaluation,20161025,highway,trunk_link,7256,0.028066907318468757,0.059832804328945326
evaluation,20161025,highway,trunk,29479,0.025178858963480107,0.05183746105057064
evaluation,20161025,highway,tertiary,24128,0.030779544699443714,0.04957912653954614
evaluation,20161025,highway,tertiary_link,6092,0.029494468497590673,0.056748205677951975
evaluation,20161025,highway,residential,734,0.035529118540673206,0.05256492027849792
evaluation,20161025,highway,secondary_link,3292,0.029931575461690736,0.044787075870435046
evaluation,20161025,highway,service,111,0.04529531322446716,0.06734484750963832
evaluation,20161025,highway,living_street,3,0.03811982399856544,0.03922504372570862
evaluation,20161025,highway,unknown,0,,
evaluation,20161026,highway,unclassified,14210,0.03189502904917272,0.06834760762302877
evaluation,20161026,highway,primary,75740,0.02984956995528193,0.08255049635701049
evaluation,20161026,highway,residential,722,0.03648938793048789,0.048515727558008453
evaluation,20161026,highway,tertiary,24133,0.03027712687782136,0.04817129744056303
evaluation,20161026,highway,secondary,69114,0.02816042392283924,0.048511265144029855
evaluation,20161026,highway,trunk,31477,0.024251154622232672,0.03795502720942589
evaluation,20161026,highway,secondary_link,3112,0.02926424877280439,0.04424771410775251
evaluation,20161026,highway,primary_link,6807,0.031554081732247795,0.05481575595952447
evaluation,20161026,highway,trunk_link,7629,0.027662138912711364,0.05155813164984329
evaluation,20161026,highway,tertiary_link,5633,0.029453838836114646,0.06363696183355644
evaluation,20161026,highway,service,128,0.044635993862695254,0.07000530444825039
evaluation,20161026,highway,living_street,4,0.021561061112716058,0.02514487481802923
evaluation,20161026,highway,unknown,0,,
evaluation,20161026,highway,track,0,,
evaluation,20161026,highway,pedestrian,2,0.01908723284625223,0.020194566249164686
evaluation,20161027,highway,primary,73767,0.029576230090080115,0.05362810561733836
evaluation,20161027,highway,unclassified,15238,0.031047086332523795,0.057444906026607276
evaluation,20161027,highway,tertiary,23545,0.03020952187755127,0.05153976381900375
evaluation,20161027,highway,trunk_link,7552,0.02573773275844999,0.0399550906408087
evaluation,20161027,highway,trunk,31173,0.022775874671804433,0.04411052722093082
evaluation,20161027,highway,residential,696,0.03731108672936172,0.05435585247620712
evaluation,20161027,highway,secondary,69084,0.028059358767199925,0.051486661702746385
evaluation,20161027,highway,secondary_link,3163,0.0294322283009962,0.04157894744126237
evaluation,20161027,highway,primary_link,6728,0.032139950042186186,0.06492651622588327
evaluation,20161027,highway,tertiary_link,6087,0.028510661800864905,0.050531408613360654
evaluation,20161027,highway,service,154,0.04146676992391509,0.055267547055907966
evaluation,20161027,highway,living_street,7,0.0702156925601966,0.13652291534304278
evaluation,20161027,highway,unknown,0,,
evaluation,20161027,highway,track,0,,
evaluation,20161027,highway,pedestrian,2,0.06922009384555353,0.070477258354828
