fold,sample_size,initial_fleet_hash,mechanism_id,dispatch_strategy,pricing_scenario,served_order_profit,lost_demand_cost,net_platform_profit,platform_revenue,platform_cost,capability_cost,remote_assistance_cost,fallback_expected_cost,supply_scenario,av_penetration,odd_profile
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,34563.96725816486,960.0,33603.96725816486,59539.81120415386,24975.843945989,546.7168637812138,81.9809398651123,0.0,moderate,0.5,intersection_sensitive_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,34563.96725816486,960.0,33603.96725816486,59539.81120415386,24975.843945989,546.7168637812138,81.9809398651123,0.0,moderate,0.5,uncertainty_sensitive_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,37036.40030239011,960.0,36076.40030239011,59222.613821006365,22186.213518616256,677.336757928133,26.45921421051025,0.0,moderate,0.5,moderate_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,37036.40030239011,960.0,36076.40030239011,59222.613821006365,22186.213518616256,677.336757928133,26.45921421051025,0.0,moderate,0.5,conservative_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,37036.40030239011,960.0,36076.40030239011,59222.613821006365,22186.213518616256,677.336757928133,26.45921421051025,0.0,moderate,0.5,mature_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,37036.40030239011,960.0,36076.40030239011,59222.613821006365,22186.213518616256,677.336757928133,26.45921421051025,0.0,moderate,0.5,intersection_sensitive_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P3_shared_comp,37036.40030239011,960.0,36076.40030239011,59222.613821006365,22186.213518616256,677.336757928133,26.45921421051025,0.0,moderate,0.5,uncertainty_sensitive_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P0_uniform,38082.53252219686,930.0,37152.53252219686,58973.79215860325,20891.259636406397,920.8345969170332,130.47741556167605,0.0,moderate,0.5,moderate_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P1_platform_funded_comp,36915.95355060019,935.0,35980.95355060019,58880.35628276417,21964.40273216398,1343.8923770934343,546.5722813606262,0.0,moderate,0.5,moderate_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P2_passenger_funded_comp,39561.22010555235,940.0,38621.22010555235,60099.77648395445,20538.5563784021,863.5499052554369,57.989956855773926,0.0,moderate,0.5,moderate_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P4_av_discount_hv_comp,36106.51198862396,905.0,35201.511988623955,58183.14744316352,22076.63545453956,938.6391822844744,130.51580047607422,0.0,moderate,0.5,moderate_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,OFAT_BASE,ODD-Gated Price-Aware Matching,P5_three_stakeholder_balanced,35561.44875563937,1075.0,34486.44875563937,56349.26189367291,20787.813138033533,913.087334677577,110.91561126708984,0.0,moderate,0.5,moderate_av
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_conservative_av,ODD-Gated Price-Aware Matching,P3_shared_comp,29508.340398698325,995.0,28513.340398698325,59643.90612103722,30135.56572233889,0.0,0.0,0.0,moderate,0.0,conservative_av
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_moderate_av,ODD-Gated Price-Aware Matching,P3_shared_comp,29508.340398698325,995.0,28513.340398698325,59643.90612103722,30135.56572233889,0.0,0.0,0.0,moderate,0.0,moderate_av
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_mature_av,ODD-Gated Price-Aware Matching,P3_shared_comp,29508.340398698325,995.0,28513.340398698325,59643.90612103722,30135.56572233889,0.0,0.0,0.0,moderate,0.0,mature_av
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_intersection_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,29508.340398698325,995.0,28513.340398698325,59643.90612103722,30135.56572233889,0.0,0.0,0.0,moderate,0.0,intersection_sensitive_av
1,1500,d9e945fbc8b7486b32b4a3b42b47d37f276cd5307bb311d85244468023d9fbcf,INT_AV0.00_uncertainty_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,29508.340398698325,995.0,28513.340398698325,59643.90612103722,30135.56572233889,0.0,0.0,0.0,moderate,0.0,uncertainty_sensitive_av
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_conservative_av,ODD-Gated Price-Aware Matching,P3_shared_comp,34003.90102055359,940.0,33063.90102055359,60025.55894423672,26021.65792368313,368.9195689558983,46.3240852355957,0.0,moderate,0.25,conservative_av
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_moderate_av,ODD-Gated Price-Aware Matching,P3_shared_comp,37020.92043950757,950.0,36070.92043950757,59373.45114454128,22352.530705033714,835.5921640247107,134.91064167022705,0.0,moderate,0.25,moderate_av
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_mature_av,ODD-Gated Price-Aware Matching,P3_shared_comp,37709.64376919672,960.0,36749.64376919672,59054.28310845007,21344.639339253332,956.9554916620256,44.72717809677124,0.0,moderate,0.25,mature_av
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_intersection_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,33519.99040797488,960.0,32559.99040797488,59642.98507818872,26122.99467021384,427.0632391870022,57.2385835647583,0.0,moderate,0.25,intersection_sensitive_av
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_uncertainty_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,35825.16309492819,960.0,34865.16309492819,59381.17937619151,23556.01628126332,565.8129132091999,26.75107479095459,0.0,moderate,0.25,uncertainty_sensitive_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,INT_AV0.50_conservative_av,ODD-Gated Price-Aware Matching,P3_shared_comp,35271.57547463267,950.0,34321.57547463267,59851.05104990252,24579.475575269847,554.29569876194,136.27845001220703,0.0,moderate,0.5,conservative_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,INT_AV0.50_moderate_av,ODD-Gated Price-Aware Matching,P3_shared_comp,38086.501241435966,935.0,37151.501241435966,59545.78344782587,21459.28220638991,918.4205927103758,130.43007850646973,0.0,moderate,0.5,moderate_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,INT_AV0.50_mature_av,ODD-Gated Price-Aware Matching,P3_shared_comp,39741.103163526765,935.0,38806.103163526765,59271.66090868576,19530.557745158992,1201.2885428518057,76.0871319770813,0.0,moderate,0.5,mature_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,INT_AV0.50_intersection_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,34563.96725816486,960.0,33603.96725816486,59539.81120415386,24975.843945989,546.7168637812138,81.9809398651123,0.0,moderate,0.5,intersection_sensitive_av
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,INT_AV0.50_uncertainty_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,37036.40030239011,960.0,36076.40030239011,59222.613821006365,22186.213518616256,677.336757928133,26.45921421051025,0.0,moderate,0.5,uncertainty_sensitive_av
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_conservative_av,ODD-Gated Price-Aware Matching,P3_shared_comp,32303.11019071877,1475.0,30828.11019071877,54829.57666612632,22526.466475407546,2096.7910221517086,1630.9997863769531,0.0,moderate,0.75,conservative_av
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_moderate_av,ODD-Gated Price-Aware Matching,P3_shared_comp,39322.4458041292,1035.0,38287.4458041292,58388.386155026645,19065.940350897454,1652.6935717314482,688.7805585861206,0.0,moderate,0.75,moderate_av
