fold,sample_size,initial_fleet_hash,mechanism_id,dispatch_strategy,pricing_scenario,supply_scenario,av_penetration,odd_profile,cancellation_reason,orders
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_conservative_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,conservative_av,cancelled_no_spatial_candidate,15
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_conservative_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,conservative_av,cancelled_passenger_rejection,169
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_conservative_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,conservative_av,cancelled_patience_timeout,1
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_intersection_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,intersection_sensitive_av,,1308
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_intersection_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,intersection_sensitive_av,cancelled_no_available_vehicle,3
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_intersection_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,intersection_sensitive_av,cancelled_no_spatial_candidate,15
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_intersection_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,intersection_sensitive_av,cancelled_passenger_rejection,171
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_intersection_sensitive_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,intersection_sensitive_av,cancelled_patience_timeout,3
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_mature_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,mature_av,,1308
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_mature_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,mature_av,cancelled_no_available_vehicle,3
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_mature_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,mature_av,cancelled_no_spatial_candidate,15
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_mature_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,mature_av,cancelled_passenger_rejection,174
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_moderate_av,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,moderate_av,,1310
