fold,experiment_family,dispatch_strategy,pricing_scenario,supply_scenario,av_penetration,odd_profile,mean_passenger_fare,mean_passenger_generalized_cost,platform_profit,HV_net_income,HV_stress_burden,AV_stress_exposure
1,pricing,ODD-Gated Price-Aware Matching,P2_passenger_funded_comp,moderate,0.5,moderate_av,46.89526455232142,47.87040928603145,44116.74355942878,3316.854456019642,0.37127189902645175,0.32496475824449633
1,pricing,ODD-Gated Price-Aware Matching,P4_av_discount_hv_comp,moderate,0.5,moderate_av,43.81980480680182,44.74023420568645,40259.277165064406,3057.5656281510364,0.39124136723879444,0.3234452793289037
1,pricing,ODD-Gated Price-Aware Matching,P5_three_stakeholder_balanced,moderate,0.5,moderate_av,43.73727064290156,44.686706316170216,39677.7523769979,2827.8667840477838,0.38449008489334136,0.3247918843248057
2,strategy,Random,P3_shared_comp,moderate,0.5,moderate_av,45.0126610654476,46.82307686274036,34834.941284550165,10728.40553571075,0.4058734419584636,0.3986217062967156
2,strategy,Nearest,P3_shared_comp,moderate,0.5,moderate_av,44.90495610414247,45.93874464099222,34685.18444910806,10850.356071067057,0.4039455349400962,0.40058908742857824
2,strategy,GlobalMatch-MinPickup,P3_shared_comp,moderate,0.5,moderate_av,44.94271957086596,45.916702749127126,35766.656151350035,9840.541255293367,0.40380118162730677,0.4010073754915528
2,strategy,GlobalMatch-MinOperatingCost,P3_shared_comp,moderate,0.5,moderate_av,45.015930269074666,45.65713821937781,44371.17658263683,842.010886128779,0.4311239628159269,0.4011701835242826
2,strategy,Cost-only,P3_shared_comp,moderate,0.5,moderate_av,45.01773192875023,45.67977088586951,44354.986778822975,813.1797183492761,0.4231158570860917,0.40148756975009114
2,strategy,Simple Risk Penalty,P3_shared_comp,moderate,0.5,moderate_av,44.94271957086596,46.4572846908429,26485.909992390207,19734.48745199142,0.4036306096561316,0.3874468026221346
2,strategy,ODD Gate Only,P3_shared_comp,moderate,0.5,moderate_av,44.87645184559781,46.073817682676484,31985.12838444027,13433.068225305862,0.4221948636673083,0.36750519534113607
2,strategy,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.5,moderate_av,44.93378586658727,45.963185773193416,38473.33401585908,6090.222114862983,0.4901834166260261,0.36707924933975966
2,strategy,Three-Stakeholder Balanced,P3_shared_comp,moderate,0.5,moderate_av,44.88794542947483,45.89238333277705,38979.19500777439,5522.145554053992,0.4986923345438907,0.368241339229405
2,supply,ODD-Gated Price-Aware Matching,P3_shared_comp,abundant,0.5,moderate_av,44.82326781450258,45.83281402413183,39135.93251172644,5043.769248065232,0.5065305593819124,0.36871310086548326
2,supply,ODD-Gated Price-Aware Matching,P3_shared_comp,tight,0.5,moderate_av,44.85997460403853,46.09651965840713,37975.81174104952,6370.484857076222,0.48374416049675534,0.36645169903135827
2,av_penetration,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.0,moderate_av,44.792605286844626,46.31714165962314,24665.898933154524,21398.815323602936,0.40221596662834547,
2,av_penetration,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.25,moderate_av,44.96164830006777,46.147227096959874,36661.88563242279,8634.154203343218,0.45926905202752843,0.36615299847083166
2,av_penetration,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.75,moderate_av,44.808631693112815,45.79132502819307,38998.883135337586,4492.145634943034,0.5115112954199538,0.36892727821545607
2,odd_profile,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.5,conservative_av,44.956897207756164,46.2752245453698,32922.35354256477,11910.876840962988,0.4664779894680879,0.32265537424433616
2,odd_profile,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.5,mature_av,45.01866891566347,45.84221272998412,41864.524248580194,2938.125075333569,0.4911147420431755,0.38704762723478014
2,odd_profile,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.5,intersection_sensitive_av,44.90007475452161,46.150638794835736,34529.32230647847,10493.117124487017,0.4675922885391058,0.3437793035717571
2,odd_profile,ODD-Gated Price-Aware Matching,P3_shared_comp,moderate,0.5,uncertainty_sensitive_av,44.94935914597125,46.20914248990215,34652.094436802116,10126.572858704145,0.471746489095701,0.33987864576951626
2,pricing,ODD-Gated Price-Aware Matching,P0_uniform,moderate,0.5,moderate_av,44.22332958773653,45.213289381157125,39899.26877372588,4257.278800689646,0.49576355345607037,0.367981690203677
2,pricing,ODD-Gated Price-Aware Matching,P1_platform_funded_comp,moderate,0.5,moderate_av,44.22592977039965,45.21554400588615,37350.97650735939,5448.287686910635,0.4999837738463721,0.3675463840639384
2,pricing,ODD-Gated Price-Aware Matching,P2_passenger_funded_comp,moderate,0.5,moderate_av,46.48218205622954,47.492475998645446,41383.70386076554,5668.419678633549,0.4959200971851162,0.36664835905014553
2,pricing,ODD-Gated Price-Aware Matching,P4_av_discount_hv_comp,moderate,0.5,moderate_av,43.19914840895517,44.224263930631835,35613.83671887734,6102.6988893777325,0.490808690558885,0.3680848617325051
2,pricing,ODD-Gated Price-Aware Matching,P5_three_stakeholder_balanced,moderate,0.5,moderate_av,43.49594179874243,44.515132360784996,35857.40966797224,5856.928724846584,0.49598896200504344,0.36756947344485613
