fold,sample_size,initial_fleet_hash,mechanism_id,pricing_scenario,HV_payout,HV_net_income,mean_passenger_fare,supply_scenario,av_penetration,odd_profile,dispatch_strategy
1,1500,3326188b18261809bec84edb699a139d4666fe42e3973166bee5a469cdfc2455,INT_AV0.25_uncertainty_sensitive_av,P3_shared_comp,15745.0886620215,10890.988139824058,45.39845518057455,moderate,0.25,uncertainty_sensitive_av,ODD-Gated Price-Aware Matching
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,INT_AV0.50_conservative_av,P3_shared_comp,17605.869028584086,12131.29862157331,45.68782522893322,moderate,0.5,conservative_av,ODD-Gated Price-Aware Matching
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,INT_AV0.50_moderate_av,P3_shared_comp,10616.412186261976,7322.473273252517,45.35093941190089,moderate,0.5,moderate_av,ODD-Gated Price-Aware Matching
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,INT_AV0.50_mature_av,P3_shared_comp,6367.406648351467,4401.647451949626,45.14216367759768,moderate,0.5,mature_av,ODD-Gated Price-Aware Matching
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,INT_AV0.50_intersection_sensitive_av,P3_shared_comp,19134.98953266037,13189.625741925023,45.51973333650907,moderate,0.5,intersection_sensitive_av,ODD-Gated Price-Aware Matching
1,1500,f740db2b161eb506e76c4959cb21ef806ab51202391fcb732eb612365eeb8084,INT_AV0.50_uncertainty_sensitive_av,P3_shared_comp,12845.85455927664,8859.966455880698,45.27722769190089,moderate,0.5,uncertainty_sensitive_av,ODD-Gated Price-Aware Matching
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_conservative_av,P3_shared_comp,9759.723281965926,6665.739387818048,45.501723374378685,moderate,0.75,conservative_av,ODD-Gated Price-Aware Matching
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_moderate_av,P3_shared_comp,3839.943585838633,2611.538781710488,45.157297877050766,moderate,0.75,moderate_av,ODD-Gated Price-Aware Matching
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_mature_av,P3_shared_comp,699.851496013645,472.2855457308924,44.938935233918095,moderate,0.75,mature_av,ODD-Gated Price-Aware Matching
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_intersection_sensitive_av,P3_shared_comp,13780.287554927689,9453.89281625688,45.443725182501765,moderate,0.75,intersection_sensitive_av,ODD-Gated Price-Aware Matching
1,1500,092ac9bc4eec0bae50509fe25844a6b753d846bdb14053512753a3d009bbf861,INT_AV0.75_uncertainty_sensitive_av,P3_shared_comp,7414.101238337958,5070.2343327882245,45.4561714695858,moderate,0.75,uncertainty_sensitive_av,ODD-Gated Price-Aware Matching
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,B0_minpickup_uniform,P0_uniform,14291.999966139125,9073.223485084836,44.16082988991914,moderate,0.5,moderate_av,GlobalMatch-MinPickup
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,B1_mincost_uniform,P0_uniform,13969.597167531349,8663.460126547101,44.12005134784935,moderate,0.5,moderate_av,GlobalMatch-MinOperatingCost
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,B2_oddgate_uniform,P0_uniform,16965.387065023708,10701.978125637226,44.12090536442789,moderate,0.5,moderate_av,ODD Gate Only
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,B3_odd_price_shared,P3_shared_comp,16716.231839653363,11327.858501318602,45.09896194709855,moderate,0.5,moderate_av,ODD-Gated Price-Aware Matching
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,B4_odd_price_avdiscount,P4_av_discount_hv_comp,17003.023633219716,11716.540010907582,44.19729742846384,moderate,0.5,moderate_av,ODD-Gated Price-Aware Matching
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,B5_weighted_heuristic,P5_three_stakeholder_balanced,20723.264318298978,14393.782576576536,44.38303458912519,moderate,0.5,moderate_av,Weighted Stakeholder Heuristic
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,B6_three_stakeholder_balanced,P5_three_stakeholder_balanced,16934.23957344088,11777.455590052605,44.12576538092172,moderate,0.5,moderate_av,Three-Stakeholder Balanced
2,1500,b2e8cd9bad5fb83502b8d4fe06e17224f54a3e07e181f9f390c7dcf88c11db97,OFAT_BASE,P3_shared_comp,16528.6774685326,11198.527785845072,44.99741693657396,abundant,0.5,moderate_av,ODD-Gated Price-Aware Matching
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,P3_shared_comp,16716.231839653363,11327.858501318602,45.09896194709855,moderate,0.5,moderate_av,ODD-Gated Price-Aware Matching
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,P3_shared_comp,16716.231839653363,11327.858501318602,45.09896194709855,moderate,0.5,conservative_av,ODD-Gated Price-Aware Matching
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,P3_shared_comp,16716.231839653363,11327.858501318602,45.09896194709855,moderate,0.5,mature_av,ODD-Gated Price-Aware Matching
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,P3_shared_comp,16716.231839653363,11327.858501318602,45.09896194709855,moderate,0.5,intersection_sensitive_av,ODD-Gated Price-Aware Matching
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,P3_shared_comp,16716.231839653363,11327.858501318602,45.09896194709855,moderate,0.5,uncertainty_sensitive_av,ODD-Gated Price-Aware Matching
2,1500,ed4cc195d96b8323a4fe6dc34d9295f4b44a9bd581ab12ab927a4799d1d7fca3,OFAT_BASE,P3_shared_comp,16501.042394545882,11180.639854929575,45.11862767450587,tight,0.5,moderate_av,ODD-Gated Price-Aware Matching
2,1500,f2a256434cd716db0af17c40793601979b91c17c580de102bd8741d4facf3f40,OFAT_BASE,P3_shared_comp,30017.11850953718,20555.22318146637,45.44835324266214,moderate,0.0,moderate_av,ODD-Gated Price-Aware Matching
2,1500,df6110ae40a8c1a53223c1791a6cc2fa85138144b550ad8e937ff426ae1f43c1,OFAT_BASE,P3_shared_comp,18449.97636990609,12542.461152854396,45.04543802346859,moderate,0.25,moderate_av,ODD-Gated Price-Aware Matching
2,1500,39a668aed989979f226a85bdd856fde079c960335047a7c1414c7a1e56a94a48,OFAT_BASE,P3_shared_comp,6739.988818539543,4500.144516123854,44.40501867800237,moderate,0.75,moderate_av,ODD-Gated Price-Aware Matching
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,P3_shared_comp,23699.778274612512,16143.105547097268,45.32909735350066,moderate,0.5,moderate_av,ODD-Gated Price-Aware Matching
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,P3_shared_comp,23699.778274612512,16143.105547097268,45.32909735350066,moderate,0.5,conservative_av,ODD-Gated Price-Aware Matching
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,P3_shared_comp,23699.778274612512,16143.105547097268,45.32909735350066,moderate,0.5,mature_av,ODD-Gated Price-Aware Matching
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,P3_shared_comp,23699.778274612512,16143.105547097268,45.32909735350066,moderate,0.5,intersection_sensitive_av,ODD-Gated Price-Aware Matching
2,1500,d9322babd189499956610877b248c22df3ae9196d212e12d27f427e06607a6af,OFAT_BASE,P3_shared_comp,23699.778274612512,16143.105547097268,45.32909735350066,moderate,0.5,uncertainty_sensitive_av,ODD-Gated Price-Aware Matching
