supply_scenario,av_penetration,odd_profile,pricing_scenario,dispatch_strategy,relocation_mode,experiment_family,orders,served_orders,match_rate,cancel_rate,passenger_acceptance_rate,mean_waiting_time_sec,mean_pickup_time_sec,mean_passenger_fare,mean_passenger_generalized_cost,platform_revenue,platform_cost,platform_profit,profit_margin,HV_payout,HV_net_income,HV_stress_burden,HV_high_stress_assignment_share,AV_utilization,AV_assignment_share,AV_stress_exposure,AV_ODD_violation_rate,mean_candidate_count,zero_candidate_order_share,cross_zone_candidate_share,fold,experiment_id
tight,0.5,moderate_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,supply,1500,1317,0.878,0.122,0.878,70.88078967350037,109.27574059571272,45.570341489707246,46.88569684831853,60016.13974194444,17298.882561185936,42717.257180758505,0.7117628252072336,4095.667791404375,2843.724395432977,0.3847484213044072,0.2222222222222222,0.990909090909091,0.8701594533029613,0.32428678739740097,0.0,6.5728048041583955,0.2856612029263963,0.5351474775179512,1,10
moderate,0.0,moderate_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,av_penetration,1500,1312,0.8746666666666667,0.12533333333333332,0.8746666666666667,71.0907012195122,83.843949864088,45.33485994262031,47.011738939902074,59479.33624471785,33421.00901142621,26058.32723329164,0.43810722981303923,30364.692572870503,21341.52373793331,0.33237736986389727,0.035823170731707314,0.0,0.0,,0.0,6.717076181440822,0.29266009210760596,0.5090518892527985,1,11
moderate,0.25,moderate_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,av_penetration,1500,1315,0.8766666666666667,0.12333333333333334,0.8766666666666667,71.00684410646387,92.86847893423145,45.490345680343715,46.63668864305876,59819.804569651984,20165.45147509196,39654.35309456003,0.6628967342811687,8896.380841431692,6241.682857973179,0.3515379267957127,0.10789473684210527,0.9619047619047619,0.7110266159695817,0.324474269916667,0.0,6.606920959130904,0.2917787450936622,0.4577188507403124,1,12
moderate,0.75,moderate_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,av_penetration,1500,1305,0.87,0.13,0.87,72.48965517241379,86.57304468752194,45.459448081561675,46.272135028951965,59324.57974643799,16082.386928132282,43242.19281830571,0.7289085401553492,2581.927394782376,1784.1963360912823,0.41529763644596307,0.3490566037735849,0.6952380952380952,0.9187739463601533,0.3239679893238994,0.0,6.236719536857659,0.3095695178568107,0.47294388161844625,1,13
moderate,0.5,conservative_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,odd_profile,1500,1310,0.8733333333333333,0.12666666666666668,0.8733333333333333,70.80152671755725,88.16961277248376,45.44248582883435,46.499771214055016,59529.656435772995,20330.918386732592,39198.7380490404,0.6584741185484956,8994.403894963714,6263.4526228309915,0.38912078405355477,0.12207792207792208,0.7523809523809524,0.7061068702290076,0.30837474650090874,0.0,5.9261064339793625,0.2982770350173666,0.4481351437724677,1,14
moderate,0.5,mature_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,odd_profile,1500,1317,0.878,0.122,0.878,71.26271829916477,89.37784215936661,45.51964795603624,46.398320972344294,59949.376358099726,16386.511142368116,43562.8652157316,0.7266608572458627,2913.130878858195,2044.2577787651844,0.35258365981280804,0.1,0.8714285714285714,0.908883826879271,0.33028511372292413,0.0,6.699736911339121,0.2878938025346865,0.4689643114132457,1,15
moderate,0.5,intersection_sensitive_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,odd_profile,1500,1299,0.866,0.134,0.866,73.79291762894535,94.58342041297367,45.38970240952584,46.6393384852218,58961.22342997407,21451.21644054284,37510.00698943122,0.63618094753377,11394.42869411129,7925.18515407892,0.3696146530596586,0.0989247311827957,0.7523809523809524,0.6420323325635104,0.31048018062453003,0.0,5.498223154991111,0.31344090736355934,0.4589739439860004,1,16
moderate,0.5,uncertainty_sensitive_av,P3_shared_comp,ODD-Gated Price-Aware Matching,pending_demand,odd_profile,1500,1312,0.8746666666666667,0.12533333333333332,0.8746666666666667,70.73094512195122,93.13327760183749,45.48438507798019,46.594001849529135,59675.51322231001,19421.027147944325,40254.48607436569,0.6745561772448458,7422.123876696186,5179.674936879883,0.38474176770436413,0.1419753086419753,0.8285714285714286,0.7530487804878049,0.3147045992485747,0.0,6.0717691915205725,0.29385202990175363,0.4702759581699524,1,17
moderate,0.5,moderate_av,P0_uniform,ODD-Gated Price-Aware Matching,pending_demand,pricing,1500,1313,0.8753333333333333,0.12466666666666666,0.8753333333333333,70.47829398324448,91.23250079935173,44.922872083818454,45.871665283354616,58983.73104605363,16321.061677430527,42662.6693686231,0.7232955361082993,3463.4259114238484,2259.817249900391,0.38552789569876195,0.22085889570552147,0.7952380952380952,0.8758568164508759,0.3241857361750326,0.0,6.499486844238225,0.2930912651907127,0.47324354579490135,1,18
moderate,0.5,moderate_av,P1_platform_funded_comp,ODD-Gated Price-Aware Matching,pending_demand,pricing,1500,1317,0.878,0.122,0.878,70.90432801822324,90.75735416893342,44.97103512729812,45.922856470357885,59226.85326265163,17663.765789472476,41563.087473179155,0.7017608598731477,4349.101480447262,3028.6508555017613,0.3831416753431161,0.21666666666666667,0.8238095238095238,0.8633257403189066,0.32397522591436684,0.0,6.5246924653002,0.2872031947998799,0.46865033431280634,1,19
