scope,date,support_dimension,target,support_group,comparison,n,baseline_mae,candidate_mae,absolute_improvement,relative_improvement
aggregate,all,spatial,stop,medium,M4_vs_M1,104020,0.011576704645751073,0.011906795877798599,-0.0003300912320475264,-0.028513401883210155
aggregate,all,spatial,stop,medium,M4_vs_M3,104020,0.011882224836398482,0.011906795877798599,-2.4571041400116983e-05,-0.002067882213846788
aggregate,all,spatial,stop,high,M3_vs_M1,675390,0.004235813062324542,0.004302577706466998,-6.676464414245593e-05,-0.01576194302253193
aggregate,all,spatial,stop,high,M4_vs_M1,675390,0.004235813062324542,0.004321198717143132,-8.53856548185903e-05,-0.02015803189665129
aggregate,all,spatial,stop,high,M4_vs_M3,675390,0.004302577706466998,0.004321198717143132,-1.862101067613437e-05,-0.004327873183590856
aggregate,all,spatial,speed_cv,unseen,M3_vs_M1,85,0.08813532056976649,0.08776520368730202,0.0003701168824644663,0.004199416080542735
aggregate,all,spatial,speed_cv,unseen,M4_vs_M1,85,0.08813532056976649,0.09038133700903606,-0.0022460164392695686,-0.025483726895752973
aggregate,all,spatial,speed_cv,unseen,M4_vs_M3,85,0.08776520368730202,0.09038133700903606,-0.002616133321734035,-0.029808320516807964
aggregate,all,spatial,speed_cv,low,M3_vs_M1,337,0.0955801699847052,0.09162894352688439,0.003951226457820811,0.0413393955927583
aggregate,all,spatial,speed_cv,low,M4_vs_M1,337,0.0955801699847052,0.09150791664940472,0.00407225333530048,0.04260562976558971
aggregate,all,spatial,speed_cv,low,M4_vs_M3,337,0.09162894352688439,0.09150791664940472,0.00012102687747966856,0.0013208367664324175
aggregate,all,spatial,speed_cv,medium,M3_vs_M1,74571,0.06269213344036353,0.06228082085208605,0.00041131258827748624,0.006560832527238064
aggregate,all,spatial,speed_cv,medium,M4_vs_M1,74571,0.06269213344036353,0.06228933035095886,0.00040280308940467136,0.006425097812117711
aggregate,all,spatial,speed_cv,medium,M4_vs_M3,74571,0.06228082085208605,0.06228933035095886,-8.50949887281488e-06,-0.00013663112907622927
aggregate,all,spatial,speed_cv,high,M3_vs_M1,454948,0.06306988787001533,0.06276726300786852,0.0003026248621468136,0.004798246395657339
aggregate,all,spatial,speed_cv,high,M4_vs_M1,454948,0.06306988787001533,0.06277141855175518,0.00029846931826015,0.0047323584731161095
aggregate,all,spatial,speed_cv,high,M4_vs_M3,454948,0.06276726300786852,0.06277141855175518,-4.155543886663615e-06,-6.620559329060876e-05
aggregate,all,spatial,acceleration_rms,unseen,M3_vs_M1,56,0.1339211219169556,0.1345831890237475,-0.0006620671067918971,-0.004943709381425616
aggregate,all,spatial,acceleration_rms,unseen,M4_vs_M1,56,0.1339211219169556,0.13564436430838864,-0.0017232423914330386,-0.012867592257042322
aggregate,all,spatial,acceleration_rms,unseen,M4_vs_M3,56,0.1345831890237475,0.13564436430838864,-0.0010611752846411415,-0.007884902210586605
aggregate,all,spatial,acceleration_rms,low,M3_vs_M1,208,0.12407619554477815,0.12445654266943726,-0.0003803471246591056,-0.0030654318742537622
aggregate,all,spatial,acceleration_rms,low,M4_vs_M1,208,0.12407619554477815,0.12393748722612284,0.00013870831865531175,0.0011179285280813833
aggregate,all,spatial,acceleration_rms,low,M4_vs_M3,208,0.12445654266943726,0.12393748722612284,0.0005190554433144173,0.004170575786385568
aggregate,all,spatial,acceleration_rms,medium,M3_vs_M1,53019,0.11344342194407916,0.11318357269617173,0.00025984924790743713,0.0022905624976257088
aggregate,all,spatial,acceleration_rms,medium,M4_vs_M1,53019,0.11344342194407916,0.11318563867911696,0.0002577832649622025,0.0022723509265197787
aggregate,all,spatial,acceleration_rms,medium,M4_vs_M3,53019,0.11318357269617173,0.11318563867911696,-2.0659829452346345e-06,-1.825338161731763e-05
aggregate,all,spatial,acceleration_rms,high,M3_vs_M1,310634,0.12026654120531513,0.11983296585761917,0.00043357534769596084,0.0036051202882418903
aggregate,all,spatial,acceleration_rms,high,M4_vs_M1,310634,0.12026654120531513,0.11983335277342623,0.00043318843188890066,0.0036019031357139926
aggregate,all,spatial,acceleration_rms,high,M4_vs_M3,310634,0.11983296585761917,0.11983335277342623,-3.8691580706018414e-07,-3.228792714017463e-06
aggregate,all,spatiotemporal,crawl,unseen,M3_vs_M1,7945,0.23217415498278607,0.22502419944883947,0.007149955533946595,0.03079565653841492
aggregate,all,spatiotemporal,crawl,unseen,M4_vs_M1,7945,0.23217415498278607,0.22546014400774758,0.006714010975038487,0.02891799466454946
aggregate,all,spatiotemporal,crawl,unseen,M4_vs_M3,7945,0.22502419944883947,0.22546014400774758,-0.0004359445589081079,-0.0019373230078181985
aggregate,all,spatiotemporal,crawl,low,M3_vs_M1,17602,0.1969021924083882,0.19067239870010919,0.006229793708279002,0.03163902662575741
aggregate,all,spatiotemporal,crawl,low,M4_vs_M1,17602,0.1969021924083882,0.19076747738053476,0.006134715027853427,0.031156153991061825
aggregate,all,spatiotemporal,crawl,low,M4_vs_M3,17602,0.19067239870010919,0.19076747738053476,-9.507868042557543e-05,-0.0004986494168729466
aggregate,all,spatiotemporal,crawl,medium,M3_vs_M1,201184,0.17160832930690814,0.1680023940662678,0.0036059352406403455,0.02101258869662096
aggregate,all,spatiotemporal,crawl,medium,M4_vs_M1,201184,0.17160832930690814,0.1678775566749639,0.0037307726319442402,0.02174004401191998
aggregate,all,spatiotemporal,crawl,medium,M4_vs_M3,201184,0.1680023940662678,0.1678775566749639,0.0001248373913038947,0.00074306912111415
aggregate,all,spatiotemporal,crawl,high,M3_vs_M1,553509,0.17037715999853306,0.16849651172187038,0.0018806482766626775,0.011038147816754721
aggregate,all,spatiotemporal,crawl,high,M4_vs_M1,553509,0.17037715999853306,0.1683803701636226,0.001996789834910473,0.011719821101183194
aggregate,all,spatiotemporal,crawl,high,M4_vs_M3,553509,0.16849651172187038,0.1683803701636226,0.00011614155824779537,0.0006892816774717866
aggregate,all,spatiotemporal,stop,unseen,M3_vs_M1,7945,0.036627224489818956,0.03890248043795513,-0.0022752559481361706,-0.062119256368131565
aggregate,all,spatiotemporal,stop,unseen,M4_vs_M1,7945,0.036627224489818956,0.03955252019519313,-0.002925295705374177,-0.07986670423764441
aggregate,all,spatiotemporal,stop,unseen,M4_vs_M3,7945,0.03890248043795513,0.03955252019519313,-0.0006500397572380065,-0.01670946813467957
aggregate,all,spatiotemporal,stop,low,M3_vs_M1,17602,0.01591675725120114,0.01624039181306639,-0.0003236345618652485,-0.020332945760093552
aggregate,all,spatiotemporal,stop,low,M4_vs_M1,17602,0.01591675725120114,0.016261234048562726,-0.0003444767973615863,-0.021642398129530484
aggregate,all,spatiotemporal,stop,low,M4_vs_M3,17602,0.01624039181306639,0.016261234048562726,-2.084223549633779e-05,-0.0012833579224097867
aggregate,all,spatiotemporal,stop,medium,M3_vs_M1,201184,0.006567514980486253,0.006587548620871166,-2.0033640384912663e-05,-0.003050414113167259
aggregate,all,spatiotemporal,stop,medium,M4_vs_M1,201184,0.006567514980486253,0.006585439705536998,-1.792472505074503e-05,-0.0027293009767018297
aggregate,all,spatiotemporal,stop,medium,M4_vs_M3,201184,0.006587548620871166,0.006585439705536998,2.108915334167634e-06,0.00032013658730138407
aggregate,all,spatiotemporal,stop,high,M3_vs_M1,553509,0.0040818127376915855,0.00417783736402926,-9.602462633767454e-05,-0.023524995512650585
aggregate,all,spatiotemporal,stop,high,M4_vs_M1,553509,0.0040818127376915855,0.004201903445763721,-0.00012009070807213543,-0.02942092540483646
aggregate,all,spatiotemporal,stop,high,M4_vs_M3,553509,0.00417783736402926,0.004201903445763721,-2.4066081734460884e-05,-0.005760416128609341
aggregate,all,spatiotemporal,speed_cv,unseen,M3_vs_M1,5302,0.07059189325120481,0.06946242792740467,0.0011294653238001356,0.015999929620542638
aggregate,all,spatiotemporal,speed_cv,unseen,M4_vs_M1,5302,0.07059189325120481,0.06951067579284066,0.0010812174583641476,0.015316453611983189
aggregate,all,spatiotemporal,speed_cv,unseen,M4_vs_M3,5302,0.06946242792740467,0.06951067579284066,-4.8247865435988024e-05,-0.0006945893899132343
aggregate,all,spatiotemporal,speed_cv,low,M3_vs_M1,12432,0.0653372833969512,0.06487113566440063,0.00046614773255057584,0.0071344829217727685
aggregate,all,spatiotemporal,speed_cv,low,M4_vs_M1,12432,0.0653372833969512,0.064848363042716,0.0004889203542352005,0.007483022385011109
aggregate,all,spatiotemporal,speed_cv,low,M4_vs_M3,12432,0.06487113566440063,0.064848363042716,2.2772621684624683e-05,0.00035104398052216665
aggregate,all,spatiotemporal,speed_cv,medium,M3_vs_M1,138109,0.06318588574197108,0.06286351158839029,0.00032237415358078725,0.005101996273301443
aggregate,all,spatiotemporal,speed_cv,medium,M4_vs_M1,138109,0.06318588574197108,0.06286483211399266,0.00032105362797842096,0.005081097213537387
aggregate,all,spatiotemporal,speed_cv,medium,M4_vs_M3,138109,0.06286351158839029,0.06286483211399266,-1.3205256023662848e-06,-2.1006233489033424e-05
