scope,date,weighting,support_dimension,target,support_group,n,mae,median_absolute_error,p90_absolute_error
daily,20161026,traversal,spatial,crawl,medium,34603,0.211677315422236,0.11559432744979858,0.5760816931724548
daily,20161026,traversal,spatial,crawl,high,225662,0.16302412885390707,0.0419430173933506,0.4984439641237258
daily,20161026,traversal,spatial,stop,unseen,47,0.13424035853042485,0.011054306291043758,0.5428592145442961
daily,20161026,traversal,spatial,stop,low,240,0.10766195721049977,0.020629195496439934,0.32184511125087734
daily,20161026,traversal,spatial,stop,medium,34603,0.01172152811575077,0.0004813047416973859,0.008144590258598322
daily,20161026,traversal,spatial,stop,high,225662,0.0042620701689996205,0.00021019112318754196,0.0018356720684096217
daily,20161026,traversal,spatial,speed_cv,unseen,16,0.07461242889985442,0.0497734509408474,0.1229870393872261
daily,20161026,traversal,spatial,speed_cv,low,122,0.10419611431291846,0.06498676165938377,0.25307607352733613
daily,20161026,traversal,spatial,speed_cv,medium,24730,0.06265426250713174,0.05300753563642502,0.1244079947471619
daily,20161026,traversal,spatial,speed_cv,high,151858,0.06311316081363341,0.0552242286503315,0.1229378029704094
daily,20161026,traversal,spatial,acceleration_rms,unseen,11,0.15913757817311722,0.16584482789039612,0.25051426887512207
daily,20161026,traversal,spatial,acceleration_rms,low,77,0.137228423124784,0.13287514448165894,0.27506347298622136
daily,20161026,traversal,spatial,acceleration_rms,medium,17580,0.11401460413080433,0.09842202067375183,0.2327584564685822
daily,20161026,traversal,spatial,acceleration_rms,high,103283,0.1203468705637413,0.1056164801120758,0.24285336136817934
daily,20161026,traversal,spatiotemporal,crawl,unseen,2595,0.24572172059627295,0.15316233038902283,0.6546841859817504
daily,20161026,traversal,spatiotemporal,crawl,low,5933,0.1963627399774014,0.09986526519060135,0.53385648727417
daily,20161026,traversal,spatiotemporal,crawl,medium,67611,0.1693277013269385,0.05681180953979492,0.5015789866447449
daily,20161026,traversal,spatiotemporal,crawl,high,184413,0.1679255597976851,0.04518968239426613,0.5155346393585215
daily,20161026,traversal,spatiotemporal,stop,unseen,2595,0.039591888607300216,0.0018018799601122737,0.06867986172437664
daily,20161026,traversal,spatiotemporal,stop,low,5933,0.016557807338461097,0.0005317656323313713,0.012678073160350335
daily,20161026,traversal,spatiotemporal,stop,medium,67611,0.006577571212036564,0.0002791463048197329,0.0033060102723538876
daily,20161026,traversal,spatiotemporal,stop,high,184413,0.004087786074493275,0.00021135964198037982,0.00178545997478068
daily,20161026,traversal,spatiotemporal,speed_cv,unseen,1718,0.07185865029892141,0.056237395852804184,0.14297003895044327
daily,20161026,traversal,spatiotemporal,speed_cv,low,4190,0.06659794702930354,0.05626143515110016,0.1304281011223793
daily,20161026,traversal,spatiotemporal,speed_cv,medium,46268,0.06308820013726908,0.05477726459503174,0.12317196503281594
daily,20161026,traversal,spatiotemporal,speed_cv,high,124550,0.06283517148317294,0.05488893762230873,0.12268671542406083
daily,20161026,traversal,spatiotemporal,acceleration_rms,unseen,1186,0.11770543108048769,0.10174348950386047,0.24249589443206787
daily,20161026,traversal,spatiotemporal,acceleration_rms,low,2897,0.1185150909030853,0.1020967960357666,0.2420671880245209
daily,20161026,traversal,spatiotemporal,acceleration_rms,medium,32024,0.11917321379718752,0.10376982390880585,0.24153564274311068
daily,20161026,traversal,spatiotemporal,acceleration_rms,high,84844,0.11959761228544288,0.10498897731304169,0.2415420532226562
daily,20161026,traversal,target_specific,crawl,unseen,5037,0.24821066159158886,0.10399511456489563,0.8000638961791993
daily,20161026,traversal,target_specific,crawl,low,9550,0.21312788642656438,0.0744139812886715,0.7236102879047397
daily,20161026,traversal,target_specific,crawl,medium,58831,0.19068540871367365,0.053316857665777206,0.6362535953521729
daily,20161026,traversal,target_specific,crawl,high,187134,0.15878951861647125,0.04692997224628925,0.48413152992725383
daily,20161026,traversal,target_specific,stop,unseen,5037,0.05316002610213393,0.003507386427372694,0.1105860099196435
daily,20161026,traversal,target_specific,stop,low,9550,0.01641214464401684,0.0008375375473406166,0.01716782823204994
daily,20161026,traversal,target_specific,stop,medium,58831,0.006192342169752426,0.0003405213064979762,0.004292704630643129
daily,20161026,traversal,target_specific,stop,high,187134,0.003263601309393546,0.0001915366665343754,0.0013462479342706505
daily,20161026,traversal,target_specific,speed_cv,unseen,3413,0.07232612916212469,0.059256091713905334,0.13916324675083164
daily,20161026,traversal,target_specific,speed_cv,low,6880,0.06688756863424164,0.05839914083480835,0.12760256081819535
daily,20161026,traversal,target_specific,speed_cv,medium,41207,0.06417378931037056,0.055926159024238586,0.12393774837255482
daily,20161026,traversal,target_specific,speed_cv,high,125226,0.06225655314631411,0.0541938915848732,0.12238318845629692
daily,20161026,traversal,target_specific,acceleration_rms,unseen,2726,0.1185146997452482,0.1017526388168335,0.24066997319459915
daily,20161026,traversal,target_specific,acceleration_rms,low,5386,0.11886358334977876,0.10427859425544739,0.24127426743507385
daily,20161026,traversal,target_specific,acceleration_rms,medium,27634,0.12025953843955617,0.10476090013980865,0.24376706928014755
daily,20161026,traversal,target_specific,acceleration_rms,high,85205,0.1192413268978205,0.10449087619781494,0.2410244792699814
daily,20161026,cell_equal,spatial,crawl,unseen,47,0.4513839134510527,0.4644896984100342,0.9324571013450622
daily,20161026,cell_equal,spatial,crawl,low,240,0.35209716566993543,0.2695714831352234,0.778302864730358
daily,20161026,cell_equal,spatial,crawl,medium,27321,0.21477641759034202,0.12758909165859222,0.54957115650177
daily,20161026,cell_equal,spatial,crawl,high,82431,0.17185658161385767,0.07386426255106926,0.49364849424455315
daily,20161026,cell_equal,spatiotemporal,crawl,unseen,2493,0.24820576203818706,0.15548616647720337,0.6570979382842781
daily,20161026,cell_equal,spatiotemporal,crawl,low,5391,0.19640987077185101,0.10399511456489563,0.5243687927722931
daily,20161026,cell_equal,spatiotemporal,crawl,medium,45106,0.17536522896822587,0.07276887074112892,0.49803912558127195
daily,20161026,cell_equal,spatiotemporal,crawl,high,57049,0.1849688539984501,0.09592074900865555,0.49896314442157746
daily,20161026,cell_equal,target_specific,crawl,unseen,4837,0.24956538042231166,0.10804491490125656,0.7941963195800784
daily,20161026,cell_equal,target_specific,crawl,low,8594,0.21308855484197856,0.07907478511333466,0.6824334561824799
daily,20161026,cell_equal,target_specific,crawl,medium,40842,0.19268313726391276,0.0697268396615982,0.5564306676387787
daily,20161026,cell_equal,target_specific,crawl,high,55766,0.16554781175166255,0.0991647707608839,0.4324608134726683
daily,20161026,cell_equal,spatial,stop,unseen,47,0.13424035778734833,0.011054306291043758,0.5428592092357574
daily,20161026,cell_equal,spatial,stop,low,240,0.10766195700289245,0.020629195496439934,0.32184510622173546
daily,20161026,cell_equal,spatial,stop,medium,27321,0.01299921116019797,0.0005439846427179873,0.010094423549890052
daily,20161026,cell_equal,spatial,stop,high,82431,0.005847462704101797,0.00030207143572624773,0.004256355110555887
daily,20161026,cell_equal,spatiotemporal,stop,unseen,2493,0.04054950466512371,0.001993404235690832,0.07314364165067677
daily,20161026,cell_equal,spatiotemporal,stop,low,5391,0.01672783112044501,0.0005484345019795001,0.013650636421516538
daily,20161026,cell_equal,spatiotemporal,stop,medium,45106,0.007509837667777762,0.0003319110910524614,0.004830830199352931
