scope,date,support_dimension,target,support_group,comparison,n,baseline_mae,candidate_mae,absolute_improvement,relative_improvement
daily,20161027,spatiotemporal,stop,medium,M3_vs_M1,66951,0.006416327255129354,0.006480719449000919,-6.439219387156542e-05,-0.01003567793710785
daily,20161027,spatiotemporal,stop,medium,M4_vs_M1,66951,0.006416327255129354,0.006476980288871659,-6.065303374230488e-05,-0.009452920858083962
daily,20161027,spatiotemporal,stop,medium,M4_vs_M3,66951,0.006480719449000919,0.006476980288871659,3.739160129260545e-06,0.0005769668257799652
daily,20161027,spatiotemporal,stop,high,M3_vs_M1,183630,0.0039864337950228515,0.004095642014145346,-0.00010920821912249485,-0.027394966212368473
daily,20161027,spatiotemporal,stop,high,M4_vs_M1,183630,0.0039864337950228515,0.004121485701717673,-0.0001350519066948214,-0.03387787522357367
daily,20161027,spatiotemporal,stop,high,M4_vs_M3,183630,0.004095642014145346,0.004121485701717673,-2.584368757232655e-05,-0.006310045527189332
daily,20161027,spatiotemporal,speed_cv,unseen,M3_vs_M1,1851,0.06878214005012816,0.06725006727215206,0.0015320727779760956,0.02227428191183826
daily,20161027,spatiotemporal,speed_cv,unseen,M4_vs_M1,1851,0.06878214005012816,0.06722512821863875,0.0015570118314894021,0.02263686227783343
daily,20161027,spatiotemporal,speed_cv,unseen,M4_vs_M3,1851,0.06725006727215206,0.06722512821863875,2.4939053513306497e-05,0.00037084057347305647
daily,20161027,spatiotemporal,speed_cv,low,M3_vs_M1,4191,0.06563404499478488,0.06526510363016033,0.0003689413646245504,0.005621188891433791
daily,20161027,spatiotemporal,speed_cv,low,M4_vs_M1,4191,0.06563404499478488,0.06522554947020448,0.0004084955245804017,0.006223835885977465
daily,20161027,spatiotemporal,speed_cv,low,M4_vs_M3,4191,0.06526510363016033,0.06522554947020448,3.955415995585132e-05,0.0006060537370781487
daily,20161027,spatiotemporal,speed_cv,medium,M3_vs_M1,46148,0.06313285689570326,0.06281335056702082,0.00031950632868243956,0.005060856492052472
daily,20161027,spatiotemporal,speed_cv,medium,M4_vs_M1,46148,0.06313285689570326,0.0628024325863452,0.0003304243093580628,0.005233793077096611
daily,20161027,spatiotemporal,speed_cv,medium,M4_vs_M3,46148,0.06281335056702082,0.0628024325863452,1.0917980675623218e-05,0.00017381624411157482
daily,20161027,spatiotemporal,speed_cv,high,M3_vs_M1,124170,0.06265656449023076,0.062328085536838204,0.0003284789533925525,0.00524253054831578
daily,20161027,spatiotemporal,speed_cv,high,M4_vs_M1,124170,0.06265656449023076,0.062330579101586604,0.00032598538864415244,0.005202733205951297
daily,20161027,spatiotemporal,speed_cv,high,M4_vs_M3,124170,0.062328085536838204,0.062330579101586604,-2.493564748400068e-06,-4.000708070724038e-05
daily,20161027,spatiotemporal,acceleration_rms,unseen,M3_vs_M1,1203,0.11507654223616044,0.11487161315596865,0.00020492908019179024,0.0017808067240257719
daily,20161027,spatiotemporal,acceleration_rms,unseen,M4_vs_M1,1203,0.11507654223616044,0.1148943702762319,0.00018217195992854818,0.0015830503453492224
daily,20161027,spatiotemporal,acceleration_rms,unseen,M4_vs_M3,1203,0.11487161315596865,0.1148943702762319,-2.275712026324206e-05,-0.0001981091728236047
daily,20161027,spatiotemporal,acceleration_rms,low,M3_vs_M1,2948,0.11851019001610062,0.11808493691222295,0.0004252531038776708,0.003588325221821824
daily,20161027,spatiotemporal,acceleration_rms,low,M4_vs_M1,2948,0.11851019001610062,0.11810872893616153,0.00040146107993908886,0.0033875659121341967
