q_A,timestamp,rt_variant,patience_s,waiting_orders,retained_180s_cohort,additional_waiting_orders,critical_orders,physical_state_sha256,production_subsecond_expired_orders,av_arcs_lost_to_integer_deadline,G0_SPATIAL_E,G0_SPATIAL_U,G0_SPATIAL_M,G1_PASSENGER_E,G1_PASSENGER_U,G1_PASSENGER_M,G2_STRUCTURAL_E,G2_STRUCTURAL_U,G2_STRUCTURAL_M,G3_EVIDENCE_E,G3_EVIDENCE_U,G3_EVIDENCE_M,TOPK_COMPRESSION_E,TOPK_COMPRESSION_U,TOPK_COMPRESSION_M,ROUTE_RETURNED_E,ROUTE_RETURNED_U,ROUTE_RETURNED_M,G4_PATIENCE_E,G4_PATIENCE_U,G4_PATIENCE_M,G5_SOLVER_E,G5_SOLVER_U,G5_SOLVER_M,mixed_E,mixed_U,mixed_M,production_av_E,production_av_U,production_av_M,retained_mixed_E,retained_mixed_U,retained_mixed_M,retained_av_E,retained_av_U,retained_av_M,additional_mixed_E,additional_mixed_U,additional_mixed_M
0.5,2016-10-31T17:30:00+08:00,RT-Base,600,258,81,177,6,ebfd224a3b5e39b6b3b763e97689222134c89102e3be271ad1c1af6ddf273730,1,0,47489,258,239,32446,177,177,16208,90,90,10446,60,60,621,60,60,621,60,60,102,28,28,102,28,28,369,98,64,102,28,28,258,57,43,56,16,16,111,41,31
0.5,2016-10-31T17:30:00+08:00,RT-High,180,111,111,0,17,ebfd224a3b5e39b6b3b763e97689222134c89102e3be271ad1c1af6ddf273730,0,0,11142,111,111,7661,77,77,3547,37,37,2859,30,30,302,30,30,302,30,30,11,4,3,11,4,3,42,8,8,11,4,3,42,8,8,11,4,3,0,0,0
0.5,2016-10-31T17:30:00+08:00,RT-High,600,309,111,198,18,ebfd224a3b5e39b6b3b763e97689222134c89102e3be271ad1c1af6ddf273730,0,1,54349,309,239,38275,217,217,21243,119,119,12828,78,78,812,78,75,812,78,75,151,32,30,151,32,30,545,121,75,150,31,29,460,86,61,128,22,22,85,35,26
0.75,2016-10-31T12:00:00+08:00,CANONICAL_ZERO_LEAD,180,76,76,0,10,d8d0b341744519d182303a141b85488ac7d844c5f0ce5764c7e6a683b71b310b,0,0,11080,76,76,6055,47,47,3450,24,24,898,9,9,146,9,9,146,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
0.75,2016-10-31T12:00:00+08:00,CANONICAL_ZERO_LEAD,600,196,76,120,13,d8d0b341744519d182303a141b85488ac7d844c5f0ce5764c7e6a683b71b310b,0,0,48863,196,196,33116,132,132,12750,54,54,5022,23,23,409,23,23,409,23,23,106,11,11,106,11,11,181,51,23,106,11,11,167,44,20,97,8,8,14,7,7
0.75,2016-10-31T12:00:00+08:00,RT-Low,180,92,92,0,15,d8d0b341744519d182303a141b85488ac7d844c5f0ce5764c7e6a683b71b310b,0,0,13664,92,92,9727,63,63,5523,40,40,3762,25,25,453,25,25,453,25,25,23,5,5,23,5,5,24,6,6,23,5,5,24,6,6,23,5,5,0,0,0
0.75,2016-10-31T12:00:00+08:00,RT-Low,600,244,92,152,9,d8d0b341744519d182303a141b85488ac7d844c5f0ce5764c7e6a683b71b310b,0,0,62583,244,244,42530,165,165,22019,91,91,11228,49,49,904,49,49,904,49,49,328,33,31,328,33,31,417,74,46,328,33,31,370,55,37,293,24,22,47,19,18
0.75,2016-10-31T12:00:00+08:00,RT-Base,180,79,79,0,14,d8d0b341744519d182303a141b85488ac7d844c5f0ce5764c7e6a683b71b310b,0,0,13559,79,79,9705,59,59,4852,27,27,2684,17,17,313,17,17,313,17,17,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,6,2,2,0,0,0
0.75,2016-10-31T12:00:00+08:00,RT-Base,600,273,79,194,18,d8d0b341744519d182303a141b85488ac7d844c5f0ce5764c7e6a683b71b310b,0,1,75564,273,273,52259,192,192,29840,104,104,15268,57,57,1054,57,57,1054,57,57,290,31,30,290,31,30,372,82,44,289,31,30,275,52,29,209,16,16,97,30,22
0.75,2016-10-31T12:00:00+08:00,RT-High,180,92,92,0,20,d8d0b341744519d182303a141b85488ac7d844c5f0ce5764c7e6a683b71b310b,1,0,15000,92,92,9785,61,61,4811,34,34,3100,21,21,387,21,21,387,21,21,18,3,3,18,3,3,18,3,3,18,3,3,18,3,3,18,3,3,0,0,0
0.75,2016-10-31T12:00:00+08:00,RT-High,600,305,92,213,14,d8d0b341744519d182303a141b85488ac7d844c5f0ce5764c7e6a683b71b310b,0,1,81907,305,305,56755,210,210,30086,115,115,19286,73,73,1357,73,73,1357,73,73,471,47,47,471,47,47,574,100,62,470,47,47,342,54,35,269,21,21,232,46,40
0.75,2016-10-31T17:30:00+08:00,CANONICAL_ZERO_LEAD,180,64,64,0,11,637307f56efd864a1407097d8f5762b6da6b4c544f4babf5be764a0b715f3374,0,0,9474,64,64,5545,39,39,1939,12,12,1473,8,8,122,8,8,122,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,2016-10-31T17:30:00+08:00,CANONICAL_ZERO_LEAD,600,216,64,152,10,637307f56efd864a1407097d8f5762b6da6b4c544f4babf5be764a0b715f3374,0,0,59416,216,216,40223,144,144,17112,58,58,6218,23,23,365,23,23,365,23,23,28,4,4,28,4,4,90,42,17,28,4,4,74,29,16,28,4,4,16,13,9
0.75,2016-10-31T17:30:00+08:00,RT-Low,180,90,90,0,12,637307f56efd864a1407097d8f5762b6da6b4c544f4babf5be764a0b715f3374,0,0,16925,90,90,11984,64,64,5854,32,32,3940,21,21,345,21,21,345,21,21,13,2,2,13,2,2,14,3,3,13,2,2,14,3,3,13,2,2,0,0,0
0.75,2016-10-31T17:30:00+08:00,RT-Low,600,242,90,152,9,637307f56efd864a1407097d8f5762b6da6b4c544f4babf5be764a0b715f3374,0,0,66119,242,242,44620,166,166,18396,72,72,10683,43,43,690,43,43,690,43,43,144,20,20,144,20,20,228,57,35,144,20,20,180,47,30,112,16,16,48,10,10
0.75,2016-10-31T17:30:00+08:00,RT-Base,180,81,81,0,16,637307f56efd864a1407097d8f5762b6da6b4c544f4babf5be764a0b715f3374,1,0,14186,81,81,9867,56,56,6250,33,33,3774,22,22,343,22,22,343,22,22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
0.75,2016-10-31T17:30:00+08:00,RT-Base,600,262,81,181,7,637307f56efd864a1407097d8f5762b6da6b4c544f4babf5be764a0b715f3374,1,0,73029,262,262,50307,181,181,25476,93,93,16421,62,62,987,62,62,987,62,62,167,33,33,167,33,33,251,66,53,167,33,33,150,38,31,95,19,19,101,28,24
0.75,2016-10-31T17:30:00+08:00,RT-High,180,111,111,0,17,637307f56efd864a1407097d8f5762b6da6b4c544f4babf5be764a0b715f3374,0,0,16977,111,111,11714,77,77,5485,37,37,4448,30,30,470,30,30,470,30,30,11,3,3,11,3,3,13,5,5,11,3,3,13,5,5,11,3,3,0,0,0
0.75,2016-10-31T17:30:00+08:00,RT-High,600,309,111,198,18,637307f56efd864a1407097d8f5762b6da6b4c544f4babf5be764a0b715f3374,0,1,82184,309,309,57969,217,217,32227,119,119,19518,78,78,1258,78,78,1258,78,78,222,32,31,222,32,31,345,84,50,221,31,30,293,60,40,189,22,22,52,24,17
