scenario_id,time_bin_start,gate_av_n0_spatial,gate_av_n1_passenger_compatible,gate_av_n2_structurally_ready,gate_av_n3_evidence_complete,gate_av_n3a_shared_topk,gate_av_n3b_route_returned,gate_av_n4_pickup_within_patience,gate_av_n5_solver_eligible,gate_av_n6_selected,gate_av_loss_acceptance,gate_av_loss_no_selected_route,gate_av_loss_hard_infeasible,gate_av_loss_hard_unknown,gate_av_loss_evidence_incomplete,gate_av_loss_shared_topk,gate_av_loss_routing_failure,gate_av_loss_patience,gate_av_loss_other_arc_condition,gate_av_loss_dispatch_competition,eligibility_conversion_n5_over_n0,assignment_conversion_n6_over_n0,acceptance_retention_n1_over_n0
MAIN_Q50_M_P70,2016-10-31 03:30:00+08:00,21111,14920,2391,93,73,73,60,60,4,6191,9119,0,3410,2298,20,0,13,0,56,0.002842120221685377,0.0001894746814456918,0.7067405617924305
MAIN_Q50_M_P70,2016-10-31 03:45:00+08:00,35697,20071,3732,144,85,85,62,62,5,15626,12454,0,3885,3588,59,0,23,0,57,0.0017368406308653388,0.00014006779281172088,0.5622601339048099
MAIN_Q50_M_P70,2016-10-31 04:00:00+08:00,22177,12189,21,21,19,19,9,9,1,9988,5702,0,6466,0,2,0,10,0,8,0.00040582585561617894,4.509176173513099e-05,0.5496234837895116
MAIN_Q50_M_P70,2016-10-31 04:15:00+08:00,17392,14435,1938,1938,263,263,51,51,4,2957,7528,0,4969,0,1675,0,212,0,47,0.002932382704691812,0.00022999080036798528,0.8299793008279669
MAIN_Q50_M_P70,2016-10-31 04:30:00+08:00,16754,12756,5487,164,105,105,68,68,6,3998,3810,0,3459,5323,59,0,37,0,62,0.004058732243046437,0.00035812343320997973,0.7613704190044168
MAIN_Q50_M_P70,2016-10-31 04:45:00+08:00,21979,12833,5044,1481,240,240,53,53,3,9146,5806,0,1983,3563,1241,0,187,0,50,0.0024113926930251603,0.00013649392602029209,0.5838755175394695
MAIN_Q50_M_P70,2016-10-31 05:00:00+08:00,20332,17659,4534,203,131,131,81,81,7,2673,9162,0,3963,4331,72,0,50,0,74,0.003983867794609483,0.0003442848711390911,0.868532362777887
MAIN_Q50_M_P70,2016-10-31 05:15:00+08:00,18115,10222,1485,146,93,93,66,66,5,7893,2241,0,6496,1339,53,0,27,0,61,0.003643389456251725,0.0002760143527463428,0.5642837427546232
MAIN_Q50_M_P70,2016-10-31 05:30:00+08:00,26242,17376,4244,135,72,72,58,58,4,8866,8258,0,4874,4109,63,0,14,0,54,0.00221019739349135,0.0001524274064476793,0.6621446536087189
MAIN_Q50_M_P70,2016-10-31 05:45:00+08:00,42765,30379,6507,154,89,89,69,69,5,12386,12450,0,11422,6353,65,0,20,0,64,0.0016134689582602596,0.00011691804045364199,0.7103706301882381
