date,order_id,transition_index,from_link_id,to_link_id,bridge_found,bridge_repairable,bridge_distance_m,bridge_link_count,bridge_node_path,bridge_reason
20161023,01d469e6744299e4d64c72ec6cb9271c,8,162540384_2635__n0,162540383_2627__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,07ef69a60815b47094308de535c040ef,8,335513936_2221__n2,162532933_2408__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,08437aa88f231e8a3374c70a08000f45,21,162540382_2656__n0,152428519_2370__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,125a97592c04170250bbeb58b9b35bd1,41,162542043_2415__n0,162532933_2408__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,19a89bf24cb700a650d64fb1d78d2681,58,162532783_2416__n0,162532761_2422__n1,False,False,,,,no_directed_path_within_distance_cap
20161023,19a89bf24cb700a650d64fb1d78d2681,59,162532761_2422__n1,162532768_2499__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,1d2ee53aae33d23b5611a08efe1ef239,44,263485691_8790__n0,26174011_2565__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,1d2ee53aae33d23b5611a08efe1ef239,100,162540382_2656__n0,28340415_2395__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,4c8aae539f3b24a1262e64168a3cafcf,57,162542043_2415__n0,162532933_2408__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,5074e474ced776446dc5819986b85fb6,3,457983480_10346__n0,457983472_10329__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,65efd5601d29cde9089f39f98139c666,15,293499685_9031__n0,334802601_9007__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,6fd31d8814085246689088de24ac78d6,44,162542043_2415__n0,162532933_2408__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,7b424027ae47c129832269dcc46acab5,2,457983480_10346__n0,457983472_10329__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,86a2e93ba60f273c359254ff7c9742b6,45,258738667_2572__n0,258738664_2574__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,bab6ba557753904603113d08ec468b76,46,162540382_2656__n0,152428519_2370__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,be04eaf829639644a8bfd93ab4594e2f,1,162540384_2635__n0,152428520_2634__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,d2c0209229c7e2a7686d87e588e81316,47,152427991_2563__n0,381429052_2558__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,d2c0209229c7e2a7686d87e588e81316,104,162540382_2656__n0,28340415_2395__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,d2c0209229c7e2a7686d87e588e81316,120,162540383_2627__n4,162532933_2408__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,d98f5634f92b29a9faca4f5f52f0aa6b,38,381473317_2629__n0,162540383_2627__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,e2128e4a688b430f129741d0b93d0127,78,162542043_2415__n0,162532933_2408__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,f5b14084f4d22625b4b1e1e285d8f93e,22,264453197_8806__n3,263485688_8788__n1,False,False,,,,no_directed_path_within_distance_cap
20161023,f982b0e66c4b16cf88aa1371124b421c,8,335513936_2221__n1,162532933_2408__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,000b1c51d61d66046857544c1c826427,1,156592805_10097__n0,335518776_10096__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,09edeed57c6133d8232a2068747e3adc,3,335518776_10096__n2,148315970_9209__n4,False,False,,,,no_directed_path_within_distance_cap
20161023,18bb711d8300b4ce6908cce84086e126,32,152427991_2563__n0,152427999_2561__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,394278ecd5232b17cc76ec8752dee6d7,48,266583962_9032__n0,267213557_9010__n1,False,False,,,,no_directed_path_within_distance_cap
20161023,3ab318659a9e99039654f5ba24e86ad9,1,156592805_10097__n0,335518776_10096__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,3b1354f3ac4707b12b50ca9e4c1aae28,3,457983480_10346__n0,457983472_10329__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,4726dacf12fe21df59f5072eada0a4a7,18,381473318_2414__n0,162532761_2422__n1,False,False,,,,no_directed_path_within_distance_cap
20161023,4726dacf12fe21df59f5072eada0a4a7,21,162532761_2422__n1,162532768_2499__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,657c91f8611a484cac0d27951b5038ac,13,335513936_2221__n1,162532933_2408__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,6f7ec1871a2afba347b9ce34f32d2f71,7,457970075_8532__n0,333378723_8749__n2,False,False,,,,no_directed_path_within_distance_cap
20161023,6f7ec1871a2afba347b9ce34f32d2f71,22,142323461_8750__n1,247978424_8762__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,7289433f72c71967fb1090c5020d7def,52,263485691_8790__n0,26174011_2565__n0,False,False,,,,no_directed_path_within_distance_cap
20161023,7289433f72c71967fb1090c5020d7def,114,162540382_2656__n0,28340415_2395__n0,False,False,,,,no_directed_path_within_distance_cap
