scenario_id,time_bin_start,new_requests,matched_request_cohort,cohort_patience_expired,patience_expirations,first_window_matches,AV_assignments,HV_assignments,accepted_requests,accepted_request_share,available_vehicles_mean,waiting_queue_mean,waiting_queue_max,matches_executed,epoch_count,time_bin_service_rate,cohort_expiration_rate,first_window_match_rate,available_vehicles_per_request,queue_pressure,AV_assignment_share,nominal_AV_count,scenario_service_rate,scenario_accepted_order_share,availability_split_observed
MAIN_Q75_M_P70,2016-10-31 07:15:00+08:00,233,85,148,129,75,33,51,165,0.7081545064377682,391.1333333333333,51.1,68,84,30,0.3648068669527897,0.6351931330472103,0.3218884120171674,1.678683834048641,0.1306459860235214,0.39285714285714285,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 07:30:00+08:00,229,96,133,142,88,39,59,160,0.6986899563318777,383.93333333333334,49.6,62,98,30,0.4192139737991266,0.5807860262008734,0.38427947598253276,1.6765647743813683,0.12918909532905018,0.3979591836734694,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 07:45:00+08:00,247,88,159,156,74,32,53,159,0.6437246963562753,398.06666666666666,55.833333333333336,63,85,30,0.3562753036437247,0.6437246963562753,0.29959514170040485,1.6116059379217273,0.14026126277005527,0.3764705882352941,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 08:00:00+08:00,297,103,194,169,88,36,63,208,0.7003367003367004,406.1,64.8,77,99,30,0.3468013468013468,0.6531986531986532,0.2962962962962963,1.3673400673400675,0.1595666092095543,0.36363636363636365,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 08:15:00+08:00,356,136,220,222,103,37,98,243,0.6825842696629213,395.9,83.0,93,135,30,0.38202247191011235,0.6179775280898876,0.2893258426966292,1.112078651685393,0.20964890123768629,0.2740740740740741,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 08:30:00+08:00,381,139,242,231,106,45,100,263,0.6902887139107612,393.03333333333336,87.06666666666666,98,145,30,0.3648293963254593,0.6351706036745407,0.2782152230971129,1.031583552055993,0.22152489186667795,0.3103448275862069,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 08:45:00+08:00,424,195,229,231,146,66,126,291,0.6863207547169812,383.23333333333335,87.2,101,192,30,0.45990566037735847,0.5400943396226415,0.3443396226415094,0.9038522012578617,0.2275376185091763,0.34375,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 09:00:00+08:00,503,207,296,273,154,63,147,361,0.7176938369781312,374.43333333333334,108.56666666666666,129,210,30,0.4115308151093439,0.588469184890656,0.3061630218687873,0.7444002650762094,0.2899492566545001,0.3,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 09:15:00+08:00,438,201,237,262,156,52,142,301,0.6872146118721462,382.8333333333333,94.63333333333334,112,194,30,0.4589041095890411,0.541095890410959,0.3561643835616438,0.874048706240487,0.24719198955158905,0.26804123711340205,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 09:30:00+08:00,416,200,216,226,153,57,149,302,0.7259615384615384,389.76666666666665,85.06666666666666,101,206,30,0.4807692307692308,0.5192307692307693,0.36778846153846156,0.9369391025641025,0.21825023518344308,0.2766990291262136,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 09:45:00+08:00,422,194,228,224,159,56,136,299,0.7085308056872038,385.9,84.56666666666666,94,192,30,0.4597156398104265,0.5402843601895735,0.3767772511848341,0.9144549763033175,0.2191414010538136,0.2916666666666667,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 10:00:00+08:00,410,174,236,233,130,45,129,287,0.7,400.8,89.63333333333334,102,174,30,0.424390243902439,0.5756097560975609,0.3170731707317073,0.9775609756097561,0.2236360612109115,0.25862068965517243,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 10:15:00+08:00,398,178,220,213,133,51,124,281,0.7060301507537688,395.3,82.5,99,175,30,0.4472361809045226,0.5527638190954773,0.3341708542713568,0.99321608040201,0.20870225145459145,0.2914285714285714,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 10:30:00+08:00,379,142,237,247,92,26,123,270,0.712401055408971,410.23333333333335,91.23333333333333,99,149,30,0.37467018469656993,0.6253298153034301,0.24274406332453827,1.0824098504837292,0.22239375964898025,0.174496644295302,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 10:45:00+08:00,412,160,252,235,120,44,115,278,0.6747572815533981,407.3333333333333,93.0,106,159,30,0.3883495145631068,0.6116504854368932,0.2912621359223301,0.988673139158576,0.22831423895253683,0.27672955974842767,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 11:00:00+08:00,390,176,214,246,135,54,117,271,0.6948717948717948,398.43333333333334,84.86666666666666,105,171,30,0.4512820512820513,0.5487179487179488,0.34615384615384615,1.0216239316239317,0.21300092027106163,0.3157894736842105,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 11:15:00+08:00,400,179,221,192,133,48,129,274,0.685,386.8333333333333,80.66666666666667,101,177,30,0.4475,0.5525,0.3325,0.9670833333333333,0.2085308056872038,0.2711864406779661,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 11:30:00+08:00,433,158,275,278,101,35,125,290,0.6697459584295612,397.23333333333335,100.66666666666667,110,160,30,0.3648960739030023,0.6351039260969977,0.23325635103926096,0.9173979984603542,0.2534194847696568,0.21875,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 11:45:00+08:00,444,187,257,260,130,43,135,301,0.6779279279279279,395.6333333333333,97.36666666666666,116,178,30,0.42117117117117114,0.5788288288288288,0.2927927927927928,0.8910660660660661,0.24610329429606537,0.24157303370786518,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 12:00:00+08:00,417,186,231,232,134,52,146,298,0.7146282973621103,392.43333333333334,88.66666666666667,102,198,30,0.4460431654676259,0.5539568345323741,0.3213429256594724,0.9410871302957634,0.2259407117981823,0.26262626262626265,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 12:15:00+08:00,443,201,242,233,146,64,129,299,0.6749435665914221,381.8666666666667,94.36666666666666,107,193,30,0.45372460496614,0.54627539503386,0.3295711060948081,0.8620015048908954,0.2471194134078212,0.3316062176165803,384,0.4013,0.7010333333333333,False
MAIN_Q75_M_P70,2016-10-31 12:30:00+08:00,389,196,193,219,138,50,151,263,0.6760925449871465,386.2,81.06666666666666,105,201,30,0.5038560411311054,0.4961439588688946,0.35475578406169667,0.9928020565552699,0.20990851027101673,0.24875621890547264,384,0.4013,0.7010333333333333,False
