effect_axis,fixed_profile,fixed_q_A,fixed_p_A,outcome,low_level,high_level,comparison,low_value,high_value,absolute_change,relative_change,response_class
p_A_marginal_mean,,,0.7,first_window_match_rate,0.7,0.7,marginal_mean,0.4492296296296296,0.4492296296296296,0.0,0.0,not_applicable
p_A_marginal_mean,,,1.0,service_rate,1.0,1.0,marginal_mean,0.5820592592592592,0.5820592592592592,0.0,0.0,not_applicable
p_A_marginal_mean,,,1.0,request_to_pickup_p95,1.0,1.0,marginal_mean,291.31271374444447,291.31271374444447,0.0,0.0,not_applicable
p_A_marginal_mean,,,1.0,AV_assignment_share,1.0,1.0,marginal_mean,0.15856279701166628,0.15856279701166628,0.0,0.0,not_applicable
p_A_marginal_mean,,,1.0,first_window_match_rate,1.0,1.0,marginal_mean,0.45680370370370366,0.45680370370370366,0.0,0.0,not_applicable
capability_marginal_mean,C,,,service_rate,C,C,marginal_mean,0.5619814814814814,0.5619814814814814,0.0,0.0,not_applicable
capability_marginal_mean,C,,,request_to_pickup_p95,C,C,marginal_mean,291.41865397777775,291.41865397777775,0.0,0.0,not_applicable
capability_marginal_mean,C,,,AV_assignment_share,C,C,marginal_mean,0.10626148077834194,0.10626148077834194,0.0,0.0,not_applicable
capability_marginal_mean,C,,,first_window_match_rate,C,C,marginal_mean,0.43234074074074075,0.43234074074074075,0.0,0.0,not_applicable
capability_marginal_mean,M,,,service_rate,M,M,marginal_mean,0.5753703703703705,0.5753703703703705,0.0,0.0,not_applicable
capability_marginal_mean,M,,,request_to_pickup_p95,M,M,marginal_mean,291.3992765611111,291.3992765611111,0.0,0.0,not_applicable
capability_marginal_mean,M,,,AV_assignment_share,M,M,marginal_mean,0.13979444983183298,0.13979444983183298,0.0,0.0,not_applicable
capability_marginal_mean,M,,,first_window_match_rate,M,M,marginal_mean,0.4493740740740741,0.4493740740740741,0.0,0.0,not_applicable
capability_marginal_mean,A,,,service_rate,A,A,marginal_mean,0.5791925925925925,0.5791925925925925,0.0,0.0,not_applicable
capability_marginal_mean,A,,,request_to_pickup_p95,A,A,marginal_mean,291.26819927777774,291.26819927777774,0.0,0.0,not_applicable
capability_marginal_mean,A,,,AV_assignment_share,A,A,marginal_mean,0.14531818290230492,0.14531818290230492,0.0,0.0,not_applicable
capability_marginal_mean,A,,,first_window_match_rate,A,A,marginal_mean,0.4537074074074074,0.4537074074074074,0.0,0.0,not_applicable
