q_A,timestamp,rt_variant,patience_s,waiting_orders,retained_180s_cohort,additional_waiting_orders,critical_orders,physical_state_sha256,production_subsecond_expired_orders,av_arcs_lost_to_integer_deadline,G0_SPATIAL_E,G0_SPATIAL_U,G0_SPATIAL_M,G1_PASSENGER_E,G1_PASSENGER_U,G1_PASSENGER_M,G2_STRUCTURAL_E,G2_STRUCTURAL_U,G2_STRUCTURAL_M,G3_EVIDENCE_E,G3_EVIDENCE_U,G3_EVIDENCE_M,TOPK_COMPRESSION_E,TOPK_COMPRESSION_U,TOPK_COMPRESSION_M,ROUTE_RETURNED_E,ROUTE_RETURNED_U,ROUTE_RETURNED_M,G4_PATIENCE_E,G4_PATIENCE_U,G4_PATIENCE_M,G5_SOLVER_E,G5_SOLVER_U,G5_SOLVER_M,mixed_E,mixed_U,mixed_M,production_av_E,production_av_U,production_av_M,retained_mixed_E,retained_mixed_U,retained_mixed_M,retained_av_E,retained_av_U,retained_av_M,additional_mixed_E,additional_mixed_U,additional_mixed_M
0.75,2016-10-31T12:00:00+08:00,RT-Base,300,136,79,57,17,f65424ea3f1f001c25136c100128685db3e15eda5dfbc769b62a722e3e8812da,2,0,32393,136,136,22374,97,97,11592,47,47,5980,27,27,488,27,27,488,27,27,39,8,8,39,8,8,49,15,15,39,8,8,29,13,13,21,7,7,20,2,2
0.75,2016-10-31T12:00:00+08:00,RT-High,300,153,92,61,15,f65424ea3f1f001c25136c100128685db3e15eda5dfbc769b62a722e3e8812da,0,0,34853,153,153,24352,106,106,13045,60,60,7789,36,36,649,36,36,649,36,36,38,11,11,38,11,11,59,28,21,38,11,11,54,24,18,35,9,9,5,4,3
0.75,2016-10-31T17:30:00+08:00,CANONICAL_ZERO_LEAD,300,106,64,42,12,98e0c8ceacb303023fefd3d84d6c7751144451718867dcaaf0c48a446ab1b9c0,0,0,23247,106,106,14497,67,67,5850,25,25,3543,15,15,219,15,15,219,15,15,0,0,0,0,0,0,17,12,12,0,0,0,17,12,12,0,0,0,0,0,0
0.75,2016-10-31T17:30:00+08:00,RT-Low,300,145,90,55,15,98e0c8ceacb303023fefd3d84d6c7751144451718867dcaaf0c48a446ab1b9c0,0,0,34514,145,145,22687,98,98,10956,49,49,6583,30,30,454,30,30,454,30,30,22,5,5,22,5,5,37,18,14,22,5,5,28,14,11,16,4,4,9,4,4
0.75,2016-10-31T17:30:00+08:00,RT-Base,300,133,81,52,15,98e0c8ceacb303023fefd3d84d6c7751144451718867dcaaf0c48a446ab1b9c0,0,0,31212,133,133,22921,96,96,13438,55,55,8500,37,37,546,37,37,546,37,37,23,6,6,23,6,6,35,12,12,23,6,6,33,10,10,23,6,6,2,2,2
0.75,2016-10-31T17:30:00+08:00,RT-High,300,164,111,53,16,98e0c8ceacb303023fefd3d84d6c7751144451718867dcaaf0c48a446ab1b9c0,0,0,34727,164,164,23997,113,113,11115,54,54,8273,42,42,630,42,42,630,42,42,25,11,11,25,11,11,44,28,24,25,11,11,41,25,22,24,10,10,3,3,3
0.5,2016-10-31T12:00:00+08:00,CANONICAL_ZERO_LEAD,180,57,57,0,6,a3db13f9693f8c8103677bfaaebb8fe62e5765e6e5a13a6d32379ef039e067ba,0,0,5189,57,57,2660,36,36,1532,19,19,604,9,9,105,9,9,105,9,9,5,4,4,5,4,4,19,8,8,5,4,4,19,8,8,5,4,4,0,0,0
0.5,2016-10-31T12:00:00+08:00,CANONICAL_ZERO_LEAD,600,136,57,79,8,a3db13f9693f8c8103677bfaaebb8fe62e5765e6e5a13a6d32379ef039e067ba,0,0,21830,136,136,14700,93,93,6043,41,41,3233,22,22,292,22,22,292,22,22,75,9,9,75,9,9,347,59,52,75,9,9,326,52,46,73,8,8,21,7,7
0.5,2016-10-31T12:00:00+08:00,RT-Low,180,92,92,0,15,a3db13f9693f8c8103677bfaaebb8fe62e5765e6e5a13a6d32379ef039e067ba,0,0,9278,92,92,6581,63,63,3755,40,40,2583,25,25,326,25,25,326,25,25,18,3,3,18,3,3,42,10,10,18,3,3,42,10,10,18,3,3,0,0,0
0.5,2016-10-31T12:00:00+08:00,RT-Low,600,222,92,130,7,a3db13f9693f8c8103677bfaaebb8fe62e5765e6e5a13a6d32379ef039e067ba,0,0,37627,222,222,25504,150,150,13604,85,85,7620,49,49,644,49,49,644,49,49,275,33,31,275,33,31,801,124,89,275,33,31,673,82,76,241,24,22,128,42,35
