fold,split,date,target,model,count,mae,rmse,pearson,spearman
fold_2,evaluation,20161025,pace_sec_per_m,hist_gradient_boosting,237553,0.0302911187212453,0.0577749235884042,0.5655668602540149,0.7105723562743878
fold_2,evaluation,20161025,pace_sec_per_m,rc_mstnet_v5_mean,237553,0.0300801981299841,0.0571048589313287,0.5804905143596233,0.7232374002941651
fold_2,evaluation,20161025,pace_sec_per_m,rc_mstnet_v5_p50,237553,0.0293017460266486,0.0571661512844099,0.5797514281114333,0.7260405366673159
fold_3,evaluation,20161026,pace_sec_per_m,global_mean,238711,0.0433852942034449,0.0741566211239868,,
fold_3,evaluation,20161026,pace_sec_per_m,highway_time_bin_mean,238711,0.0403591058975761,0.071839588405029,0.2498718451901025,0.344085833091455
fold_3,evaluation,20161026,pace_sec_per_m,strict_historical_profile,238711,0.0309508510687544,0.0610589145912197,0.5722580601964372,0.6736931067150964
fold_3,evaluation,20161026,pace_sec_per_m,edge_rolling_mean,238711,0.0371011188651366,0.0718325231574444,0.459479446254242,0.5759831138594438
fold_3,evaluation,20161026,pace_sec_per_m,v4_static_entry_time,238711,0.0309477510879031,0.0638793803953584,0.5082327332030291,0.6736893545504756
fold_3,evaluation,20161026,pace_sec_per_m,hist_gradient_boosting,238711,0.0299400636635299,0.0627123806050396,0.5324977773590404,0.7089413013997846
fold_3,evaluation,20161026,pace_sec_per_m,rc_mstnet_v5_mean,238711,0.0605439236770003,15.522297697318391,0.003906103462898,0.7287143662359974
fold_3,evaluation,20161026,pace_sec_per_m,rc_mstnet_v5_p50,238711,0.028518818498888,0.0621959247178731,0.5517467809030634,0.7304945479598539
fold_3,evaluation,20161027,pace_sec_per_m,global_mean,237196,0.043105775735065,0.0655038061382972,,
fold_3,evaluation,20161027,pace_sec_per_m,highway_time_bin_mean,237196,0.0399356778594868,0.0628340939016773,0.2847063160899277,0.3483335765567507
fold_3,evaluation,20161027,pace_sec_per_m,strict_historical_profile,237196,0.0304216982398865,0.0542647933302677,0.5610173684149277,0.6837192489956113
fold_3,evaluation,20161027,pace_sec_per_m,edge_rolling_mean,237196,0.0363835147923152,0.0655522425679984,0.4195129322415856,0.5886337285339277
fold_3,evaluation,20161027,pace_sec_per_m,v4_static_entry_time,237196,0.0304216982398865,0.0542647933302677,0.5610173684149277,0.6837192501077733
fold_3,evaluation,20161027,pace_sec_per_m,hist_gradient_boosting,237196,0.0295280194926158,0.0524041610245492,0.5983857368683234,0.7157853001592548
fold_3,evaluation,20161027,pace_sec_per_m,rc_mstnet_v5_mean,237196,0.0283187209836943,0.0517988712344469,0.6116162016338279,0.7355034246363253
fold_3,evaluation,20161027,pace_sec_per_m,rc_mstnet_v5_p50,237196,0.0280964048071825,0.0518904965022114,0.6178901219924867,0.7374655542011034
