epoch_id,condition,layer,E_AV,U_AV,M_AV,O_HA,E_HV
1300,D0,PHYSICAL_DIRECTION_HARD,4371,34,34,34,3490
1300,D0,CAPABILITY_HARD,4371,34,34,34,3490
1300,D0,STRUCTURAL_ROUTE,1473,12,12,12,3490
1300,D0,PRE_TOPK_EVIDENCE,229,3,3,3,3490
1300,D0,TOPK,37,3,3,3,833
1300,D0,VALID_ETA,37,3,3,3,833
1300,D0,PATIENCE,6,1,1,0,19
1300,D0,SESSION,6,1,1,0,8
1300,D1,SPATIAL,6104,50,50,49,3490
1300,D1,PASSENGER,4371,34,34,34,3490
1300,D1,PHYSICAL_DIRECTION_HARD,4371,34,34,34,3490
1300,D1,CAPABILITY_HARD,4371,34,34,34,3490
1300,D1,STRUCTURAL_ROUTE,2502,20,20,20,3490
1300,D1,PRE_TOPK_EVIDENCE,2473,19,19,19,3490
1300,D1,TOPK,241,19,19,19,652
1300,D1,VALID_ETA,241,19,19,19,652
1300,D1,PATIENCE,12,4,4,2,19
1300,D1,SESSION,12,4,4,1,8
1300,D2,SPATIAL,6104,50,50,49,3490
1300,D2,PASSENGER,4371,34,34,34,3490
1300,D2,PHYSICAL_DIRECTION_HARD,3849,31,31,31,3490
1300,D2,CAPABILITY_HARD,3849,31,31,31,3490
1300,D2,STRUCTURAL_ROUTE,2023,16,16,16,3490
1300,D2,PRE_TOPK_EVIDENCE,352,5,5,5,3490
1300,D2,TOPK,60,5,5,5,810
1300,D2,VALID_ETA,60,5,5,5,810
1300,D2,PATIENCE,9,2,2,0,19
1300,D2,SESSION,9,2,2,0,8
1300,D3,SPATIAL,6104,50,50,49,3490
1300,D3,PASSENGER,4371,34,34,34,3490
1300,D3,PHYSICAL_DIRECTION_HARD,4371,34,34,34,3490
1300,D3,CAPABILITY_HARD,4371,34,34,34,3490
1300,D3,STRUCTURAL_ROUTE,1473,12,12,12,3490
1300,D3,PRE_TOPK_EVIDENCE,1473,12,12,12,3490
1300,D3,TOPK,153,12,12,12,725
1300,D3,VALID_ETA,153,12,12,12,725
1300,D3,PATIENCE,16,5,5,1,19
1300,D3,SESSION,16,5,5,1,8
1300,D4,SPATIAL,6104,50,50,49,3490
1300,D4,PASSENGER,4371,34,34,34,3490
1300,D4,PHYSICAL_DIRECTION_HARD,4371,34,34,34,3490
1300,D4,CAPABILITY_HARD,4371,34,34,34,3490
1300,D4,STRUCTURAL_ROUTE,4371,34,34,34,3490
1300,D4,PRE_TOPK_EVIDENCE,4371,34,34,34,3490
1300,D4,TOPK,431,34,34,34,495
1300,D4,VALID_ETA,431,34,34,34,495
1300,D4,PATIENCE,33,13,13,4,19
1300,D4,SESSION,33,13,13,2,8
1700,D0,SPATIAL,11035,80,80,80,9130
1700,D0,PASSENGER,8917,63,63,63,9130
1700,D0,PHYSICAL_DIRECTION_HARD,8917,63,63,63,9130
1700,D0,CAPABILITY_HARD,8917,63,63,63,9130
1700,D0,STRUCTURAL_ROUTE,4091,30,30,30,9130
1700,D0,PRE_TOPK_EVIDENCE,2152,16,16,16,9130
1700,D0,TOPK,153,16,16,16,1357
1700,D0,VALID_ETA,153,16,16,16,1357
1700,D0,PATIENCE,0,0,0,0,6
1700,D0,SESSION,0,0,0,0,3
1700,D1,SPATIAL,11035,80,80,80,9130
1700,D1,PASSENGER,8917,63,63,63,9130
1700,D1,PHYSICAL_DIRECTION_HARD,8917,63,63,63,9130
1700,D1,CAPABILITY_HARD,8685,62,62,62,9130
1700,D1,STRUCTURAL_ROUTE,4643,35,35,35,9130
1700,D1,PRE_TOPK_EVIDENCE,4458,34,34,34,9130
1700,D1,TOPK,322,34,34,34,1196
1700,D1,VALID_ETA,322,34,34,34,1196
1700,D1,PATIENCE,6,2,2,0,6
1700,D1,SESSION,6,2,2,0,3
1700,D2,SPATIAL,11035,80,80,80,9130
1700,D2,PASSENGER,8917,63,63,63,9130
1700,D2,PHYSICAL_DIRECTION_HARD,8199,59,59,59,9130
1700,D2,CAPABILITY_HARD,8199,59,59,59,9130
1700,D2,STRUCTURAL_ROUTE,4323,31,31,31,9130
1700,D2,PRE_TOPK_EVIDENCE,2152,16,16,16,9130
1700,D2,TOPK,153,16,16,16,1357
1700,D2,VALID_ETA,153,16,16,16,1357
1700,D2,PATIENCE,0,0,0,0,6
1700,D2,SESSION,0,0,0,0,3
1700,D3,SPATIAL,11035,80,80,80,9130
1700,D3,PASSENGER,8917,63,63,63,9130
1700,D3,PHYSICAL_DIRECTION_HARD,8917,63,63,63,9130
1700,D3,CAPABILITY_HARD,8917,63,63,63,9130
1700,D3,STRUCTURAL_ROUTE,4091,30,30,30,9130
1700,D3,PRE_TOPK_EVIDENCE,4091,30,30,30,9130
1700,D3,TOPK,287,30,30,30,1231
1700,D3,VALID_ETA,287,30,30,30,1231
1700,D3,PATIENCE,4,1,1,0,6
1700,D3,SESSION,4,1,1,0,3
1700,D4,SPATIAL,11035,80,80,80,9130
1700,D4,PASSENGER,8917,63,63,63,9130
1700,D4,PHYSICAL_DIRECTION_HARD,8917,63,63,63,9130
1700,D4,CAPABILITY_HARD,8917,63,63,63,9130
1700,D4,STRUCTURAL_ROUTE,8917,63,63,63,9130
1700,D4,PRE_TOPK_EVIDENCE,8917,63,63,63,9130
