epoch_id,condition,layer,category,waiting_order_count,E_AV,U_AV,M_AV,O_HA,E_HV
0730,D3,PRE_TOPK_EVIDENCE,ORIGINAL_REVERSE,26,1115,9,9,9,1249
0730,D3,PRE_TOPK_EVIDENCE,M_CAPABILITY_HARD,2,0,0,0,0,114
0730,D3,PRE_TOPK_EVIDENCE,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D3,TOPK,ORIGINAL_REVERSE,26,122,9,9,9,361
0730,D3,TOPK,M_CAPABILITY_HARD,2,0,0,0,0,40
0730,D3,TOPK,FALLBACK_EVIDENCE,13,122,9,9,9,132
0730,D3,VALID_ETA,ORIGINAL_REVERSE,26,122,9,9,9,361
0730,D3,VALID_ETA,M_CAPABILITY_HARD,2,0,0,0,0,40
0730,D3,VALID_ETA,FALLBACK_EVIDENCE,13,122,9,9,9,132
0730,D3,PATIENCE,ORIGINAL_REVERSE,26,11,7,7,1,2
0730,D3,PATIENCE,M_CAPABILITY_HARD,2,0,0,0,0,0
0730,D3,PATIENCE,FALLBACK_EVIDENCE,13,11,7,7,1,2
0730,D3,SESSION,ORIGINAL_REVERSE,26,11,7,7,0,1
0730,D3,SESSION,M_CAPABILITY_HARD,2,0,0,0,0,0
0730,D3,SESSION,FALLBACK_EVIDENCE,13,11,7,7,0,1
0730,D4,SPATIAL,ORIGINAL_REVERSE,26,3638,26,26,26,1249
0730,D4,SPATIAL,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D4,SPATIAL,FALLBACK_EVIDENCE,13,1463,13,13,13,507
0730,D4,PASSENGER,ORIGINAL_REVERSE,26,2809,19,19,19,1249
0730,D4,PASSENGER,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D4,PASSENGER,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D4,PHYSICAL_DIRECTION_HARD,ORIGINAL_REVERSE,26,2809,19,19,19,1249
0730,D4,PHYSICAL_DIRECTION_HARD,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D4,PHYSICAL_DIRECTION_HARD,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D4,CAPABILITY_HARD,ORIGINAL_REVERSE,26,2809,19,19,19,1249
0730,D4,CAPABILITY_HARD,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D4,CAPABILITY_HARD,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D4,STRUCTURAL_ROUTE,ORIGINAL_REVERSE,26,2809,19,19,19,1249
0730,D4,STRUCTURAL_ROUTE,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D4,STRUCTURAL_ROUTE,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D4,PRE_TOPK_EVIDENCE,ORIGINAL_REVERSE,26,2809,19,19,19,1249
0730,D4,PRE_TOPK_EVIDENCE,M_CAPABILITY_HARD,2,366,2,2,2,114
0730,D4,PRE_TOPK_EVIDENCE,FALLBACK_EVIDENCE,13,1115,9,9,9,507
0730,D4,TOPK,ORIGINAL_REVERSE,26,264,19,19,19,235
0730,D4,TOPK,M_CAPABILITY_HARD,2,31,2,2,2,9
0730,D4,TOPK,FALLBACK_EVIDENCE,13,122,9,9,9,132
0730,D4,VALID_ETA,ORIGINAL_REVERSE,26,264,19,19,19,235
0730,D4,VALID_ETA,M_CAPABILITY_HARD,2,31,2,2,2,9
0730,D4,VALID_ETA,FALLBACK_EVIDENCE,13,122,9,9,9,132
0730,D4,PATIENCE,ORIGINAL_REVERSE,26,11,7,7,1,2
0730,D4,PATIENCE,M_CAPABILITY_HARD,2,0,0,0,0,0
0730,D4,PATIENCE,FALLBACK_EVIDENCE,13,11,7,7,1,2
0730,D4,SESSION,ORIGINAL_REVERSE,26,11,7,7,0,1
0730,D4,SESSION,M_CAPABILITY_HARD,2,0,0,0,0,0
0730,D4,SESSION,FALLBACK_EVIDENCE,13,11,7,7,0,1
0830,D0,SPATIAL,ORIGINAL_REVERSE,37,4772,37,37,37,1865
0830,D0,SPATIAL,M_CAPABILITY_HARD,1,50,1,1,1,20
0830,D0,SPATIAL,FALLBACK_EVIDENCE,10,1436,10,10,10,549
0830,D0,PASSENGER,ORIGINAL_REVERSE,37,3442,23,23,23,1865
0830,D0,PASSENGER,M_CAPABILITY_HARD,1,50,1,1,1,20
0830,D0,PASSENGER,FALLBACK_EVIDENCE,10,968,8,8,8,549
0830,D0,PHYSICAL_DIRECTION_HARD,ORIGINAL_REVERSE,37,3442,23,23,23,1865
0830,D0,PHYSICAL_DIRECTION_HARD,M_CAPABILITY_HARD,1,50,1,1,1,20
0830,D0,PHYSICAL_DIRECTION_HARD,FALLBACK_EVIDENCE,10,968,8,8,8,549
0830,D0,CAPABILITY_HARD,ORIGINAL_REVERSE,37,3442,23,23,23,1865
0830,D0,CAPABILITY_HARD,M_CAPABILITY_HARD,1,50,1,1,1,20
0830,D0,CAPABILITY_HARD,FALLBACK_EVIDENCE,10,968,8,8,8,549
