origin_grid,raw_count,raw_share,processed_count,accepted_count,accepted_share,acceptance_rate
OE313_N3786,11868,0.00593543934404093,2149,1449,0.006586363636363637,0.12209302325581395
OE313_N3787,9090,0.004546102429839236,1716,941,0.004277272727272728,0.10352035203520352
OE313_N3788,14652,0.007327776985919085,2736,1818,0.008263636363636364,0.12407862407862408
OE313_N3789,14474,0.00723875539818406,2565,1729,0.00785909090909091,0.11945557551471604
OE313_N3790,12935,0.006469068749171674,2265,1479,0.006722727272727273,0.11434093544646308
OE313_N3791,17586,0.008795132819708779,3184,1675,0.007613636363636363,0.09524621858296373
OE313_N3792,23100,0.011552801554376936,4265,2409,0.01095,0.10428571428571429
OE313_N3793,17984,0.008994181088914062,3207,1961,0.008913636363636363,0.10904137010676157
OE313_N3794,41923,0.020966584396716205,7648,4576,0.0208,0.1091524938577869
OE314_N3786,2378,0.0011892884024375912,428,237,0.0010772727272727273,0.09966358284272497
OE314_N3787,11593,0.0057979059922031095,2067,1166,0.0053,0.10057793496075218
OE314_N3788,11744,0.0058734243053940585,2211,1285,0.005840909090909091,0.1094175749318801
OE314_N3789,10172,0.005087233654161134,1900,1326,0.0060272727272727275,0.130357845064884
OE314_N3790,14984,0.007493817250683291,2707,1687,0.007668181818181818,0.1125867592098238
OE314_N3791,12190,0.006096478396011033,2270,1409,0.006404545454545454,0.11558654634946677
OE314_N3792,9121,0.004561606189500954,1754,1147,0.005213636363636364,0.12575375507071593
OE314_N3793,30612,0.015309712605306787,5568,3586,0.0163,0.1171436038154972
OE314_N3794,14649,0.007326276622080854,2678,1385,0.006295454545454545,0.09454570277834665
OE315_N3786,3824,0.0019124637724648227,652,410,0.0018636363636363635,0.10721757322175732
OE315_N3787,22197,0.011101192039069474,3973,1941,0.008822727272727272,0.08744424922286796
OE315_N3788,15109,0.007556332410609573,2728,1510,0.006863636363636363,0.09994043285458998
OE315_N3789,16370,0.008186985343945907,2927,1643,0.007468181818181818,0.1003665241295052
OE315_N3790,25740,0.012873121732020015,4587,2842,0.012918181818181818,0.11041181041181042
OE315_N3791,43639,0.021824792512184204,8009,4187,0.01903181818181818,0.09594628657851921
OE315_N3792,29389,0.014698064280588043,5213,3326,0.015118181818181819,0.11317159481438634
