time_bin,target,raw_count,raw_share,processed_count,processed_share,accepted_count,accepted_share,target_valid_traversals,target_valid_share,acceptance_rate
13,speed_cv,15286,0.007644853877065188,2762,0.007630572016631442,1766,0.008027272727272727,23982,0.0061437848553218335,0.1155305508308256
13,acceleration_rms,15286,0.007644853877065188,2762,0.007630572016631442,1766,0.008027272727272727,15624,0.005865129059867562,0.1155305508308256
14,crawl,28784,0.014395490906544838,5248,0.014498639371209923,3306,0.015027272727272728,72175,0.012496688615590258,0.11485547526403557
14,stop,28784,0.014395490906544838,5248,0.014498639371209923,3306,0.015027272727272728,72175,0.012496688615590258,0.11485547526403557
14,speed_cv,28784,0.014395490906544838,5248,0.014498639371209923,3306,0.015027272727272728,48291,0.01237134160822061,0.11485547526403557
14,acceleration_rms,28784,0.014395490906544838,5248,0.014498639371209923,3306,0.015027272727272728,32865,0.012337267444479482,0.11485547526403557
15,crawl,37986,0.01899760691967802,6896,0.019051565759120356,4263,0.019377272727272726,101408,0.017558215436505393,0.11222555678407835
15,stop,37986,0.01899760691967802,6896,0.019051565759120356,4263,0.019377272727272726,101408,0.017558215436505393,0.11222555678407835
15,speed_cv,37986,0.01899760691967802,6896,0.019051565759120356,4263,0.019377272727272726,68883,0.01764666550701084,0.11222555678407835
15,acceleration_rms,37986,0.01899760691967802,6896,0.019051565759120356,4263,0.019377272727272726,47156,0.01770199858852501,0.11222555678407835
16,crawl,48616,0.024313896119809053,8700,0.02403547304297377,5308,0.024127272727272726,128153,0.022188959281659,0.10918216225111074
16,stop,48616,0.024313896119809053,8700,0.02403547304297377,5308,0.024127272727272726,128153,0.022188959281659,0.10918216225111074
16,speed_cv,48616,0.024313896119809053,8700,0.02403547304297377,5308,0.024127272727272726,86723,0.02221697331365505,0.10918216225111074
16,acceleration_rms,48616,0.024313896119809053,8700,0.02403547304297377,5308,0.024127272727272726,59377,0.02228966770274937,0.10918216225111074
17,crawl,59765,0.02988974826395401,10590,0.029256972359206,6465,0.029386363636363638,165838,0.028713901581326737,0.10817368024763657
17,stop,59765,0.02988974826395401,10590,0.029256972359206,6465,0.029386363636363638,165838,0.028713901581326737,0.10817368024763657
17,speed_cv,59765,0.02988974826395401,10590,0.029256972359206,6465,0.029386363636363638,112254,0.028757585903982034,0.10817368024763657
17,acceleration_rms,59765,0.02988974826395401,10590,0.029256972359206,6465,0.029386363636363638,76603,0.028756175203087226,0.10817368024763657
18,crawl,56711,0.028362377876635085,10361,0.028624314505546117,6206,0.02820909090909091,164074,0.028408475066357547,0.10943203258627074
18,stop,56711,0.028362377876635085,10361,0.028624314505546117,6206,0.02820909090909091,164074,0.028408475066357547,0.10943203258627074
18,speed_cv,56711,0.028362377876635085,10361,0.028624314505546117,6206,0.02820909090909091,111572,0.02858286897998364,0.10943203258627074
18,acceleration_rms,56711,0.028362377876635085,10361,0.028624314505546117,6206,0.02820909090909091,76234,0.02861765544994519,0.10943203258627074
19,crawl,55063,0.02753817800816698,10087,0.02786733523959499,6118,0.02780909090909091,161381,0.02794219751260923,0.1111090932204929
19,stop,55063,0.02753817800816698,10087,0.02786733523959499,6118,0.02780909090909091,161381,0.02794219751260923,0.1111090932204929
19,speed_cv,55063,0.02753817800816698,10087,0.02786733523959499,6118,0.02780909090909091,109710,0.028105855911823803,0.1111090932204929
19,acceleration_rms,55063,0.02753817800816698,10087,0.02786733523959499,6118,0.02780909090909091,75398,0.028303827499737224,0.1111090932204929
20,crawl,53029,0.026520931325846517,9622,0.026582680645918805,5779,0.02626818181818182,155910,0.026994925141069305,0.10897810631918384
20,stop,53029,0.026520931325846517,9622,0.026582680645918805,5779,0.02626818181818182,155910,0.026994925141069305,0.10897810631918384
20,speed_cv,53029,0.026520931325846517,9622,0.026582680645918805,5779,0.02626818181818182,106042,0.027166176033193143,0.10897810631918384
20,acceleration_rms,53029,0.026520931325846517,9622,0.026582680645918805,5779,0.02626818181818182,72601,0.02725385527876631,0.10897810631918384
21,crawl,52206,0.026109331512891878,9360,0.025858853756578676,5607,0.025486363636363637,151222,0.0261832247430106,0.10740144810941271
21,stop,52206,0.026109331512891878,9360,0.025858853756578676,5607,0.025486363636363637,151222,0.0261832247430106,0.10740144810941271
21,speed_cv,52206,0.026109331512891878,9360,0.025858853756578676,5607,0.025486363636363637,102958,0.026376107127605096,0.10740144810941271
21,acceleration_rms,52206,0.026109331512891878,9360,0.025858853756578676,5607,0.025486363636363637,70778,0.026569515143324774,0.10740144810941271
22,crawl,53321,0.026666966739434313,9632,0.026610307626427968,5821,0.026459090909090908,153413,0.02656258386676201,0.1091689953301701
22,stop,53321,0.026666966739434313,9632,0.026610307626427968,5821,0.026459090909090908,153413,0.02656258386676201,0.1091689953301701
22,speed_cv,53321,0.026666966739434313,9632,0.026610307626427968,5821,0.026459090909090908,104244,0.026705558688106465,0.1091689953301701
22,acceleration_rms,53321,0.026666966739434313,9632,0.026610307626427968,5821,0.026459090909090908,71538,0.026854813279877474,0.1091689953301701
23,crawl,56981,0.028497410622075853,10229,0.028259638362825135,6387,0.029031818181818183,163650,0.02833506189042391,0.11208999491058423
23,stop,56981,0.028497410622075853,10229,0.028259638362825135,6387,0.029031818181818183,163650,0.02833506189042391,0.11208999491058423
23,speed_cv,56981,0.028497410622075853,10229,0.028259638362825135,6387,0.029031818181818183,111177,0.028481676626641462,0.11208999491058423
23,acceleration_rms,56981,0.028497410622075853,10229,0.028259638362825135,6387,0.029031818181818183,75995,0.02852793669384507,0.11208999491058423
24,crawl,56905,0.028459401404840674,10308,0.028477891508847542,6300,0.028636363636363637,167200,0.02894972409458526,0.1107108338458835
24,stop,56905,0.028459401404840674,10308,0.028477891508847542,6300,0.028636363636363637,167200,0.02894972409458526,0.1107108338458835
24,speed_cv,56905,0.028459401404840674,10308,0.028477891508847542,6300,0.028636363636363637,112539,0.028830598108292214,0.1107108338458835
24,acceleration_rms,56905,0.028459401404840674,10308,0.028477891508847542,6300,0.028636363636363637,76722,0.02880084688499482,0.1107108338458835
25,crawl,52437,0.026224859528435646,9487,0.026209716409045073,5717,0.025986363636363637,153522,0.026581456593594007,0.10902606937849228
